"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/27/2017","41","","Colliers Mills","34-029-0006","AQS"
"02/28/2017","43","","Colliers Mills","34-029-0006","AQS"
"03/01/2017","38","","RIVERHEAD","36-103-0004","AQS"
"03/02/2017","44","","Leonia","34-003-0006","AQS"
"03/03/2017","40","","MILLBROOK","36-027-0007","AQS"
"03/04/2017","40","","Leonia","34-003-0006","AQS"
"03/05/2017","40","","Leonia","34-003-0006","AQS"
"03/06/2017","42","","Colliers Mills","34-029-0006","AQS"
"03/07/2017","47","","RIVERHEAD","36-103-0004","AQS"
"03/08/2017","47","","SUSAN WAGNER HS","36-085-0067","AQS"
"03/09/2017","50","","Colliers Mills","34-029-0006","AQS"
"03/10/2017","41","","Ramapo","34-031-5001","AQS"
"03/11/2017","40","","Chester","34-027-3001","AQS"
"03/12/2017","38","","Colliers Mills","34-029-0006","AQS"
"03/13/2017","40","","Colliers Mills","34-029-0006","AQS"
"03/14/2017","40","","SUSAN WAGNER HS","36-085-0067","AQS"
"03/15/2017","42","","MT NINHAM","36-079-0005","AQS"
"03/16/2017","48","","Chester","34-027-3001","AQS"
"03/17/2017","51","","Flemington","34-019-0001","AQS"
"03/18/2017","48","","MT NINHAM","36-079-0005","AQS"
"03/19/2017","51","","Leonia","34-003-0006","AQS"
"03/20/2017","67","","Flemington","34-019-0001","AQS"
"03/21/2017","58","","MILLBROOK","36-027-0007","AQS"
"03/22/2017","44","","Colliers Mills","34-029-0006","AQS"
"03/23/2017","44","","Leonia","34-003-0006","AQS"
"03/24/2017","48","","Colliers Mills","34-029-0006","AQS"
"03/25/2017","37","","Colliers Mills","34-029-0006","AQS"
"03/26/2017","41","","MT NINHAM","36-079-0005","AQS"
"03/27/2017","37","","RIVERHEAD","36-103-0004","AQS"
"03/28/2017","37","","RIVERHEAD","36-103-0004","AQS"
"03/29/2017","46","","SUSAN WAGNER HS","36-085-0067","AQS"
"03/30/2017","44","","MILLBROOK","36-027-0007","AQS"
"03/31/2017","44","","SUSAN WAGNER HS","36-085-0067","AQS"
"04/01/2017","42","","RIVERHEAD","36-103-0004","AQS"
"04/02/2017","45","","Leonia","34-003-0006","AQS"
"04/03/2017","49","","Colliers Mills","34-029-0006","AQS"
"04/04/2017","44","","MILLBROOK","36-027-0007","AQS"
"04/05/2017","43","","Flemington","34-019-0001","AQS"
"04/06/2017","42","","RIVERHEAD","36-103-0004","AQS"
"04/07/2017","39","","SUSAN WAGNER HS","36-085-0067","AQS"
"04/08/2017","45","","Colliers Mills","34-029-0006","AQS"
"04/09/2017","61","","Chester","34-027-3001","AQS"
"04/10/2017","97","","Chester","34-027-3001","AQS"
"04/11/2017","122","","Flemington","34-019-0001","AQS"
"04/12/2017","54","","Colliers Mills","34-029-0006","AQS"
"04/13/2017","48","","Flemington","34-019-0001","AQS"
"04/14/2017","61","","SUSAN WAGNER HS","36-085-0067","AQS"
"04/15/2017","51","","MILLBROOK","36-027-0007","AQS"
"04/16/2017","71","","Colliers Mills","34-029-0006","AQS"
"04/17/2017","51","","SUSAN WAGNER HS","36-085-0067","AQS"
"04/18/2017","54","","SUSAN WAGNER HS","36-085-0067","AQS"
"04/19/2017","43","","SUSAN WAGNER HS","36-085-0067","AQS"
"04/20/2017","39","","RIVERHEAD","36-103-0004","AQS"
"04/21/2017","41","","RIVERHEAD","36-103-0004","AQS"
"04/22/2017","34","","RIVERHEAD","36-103-0004","AQS"
"04/23/2017","42","","MILLBROOK","36-027-0007","AQS"
"04/24/2017","43","","MILLBROOK","36-027-0007","AQS"
"04/25/2017","39","","RIVERHEAD","36-103-0004","AQS"
"04/26/2017","32","","RIVERHEAD","36-103-0004","AQS"
"04/27/2017","40","","Flemington","34-019-0001","AQS"
"04/28/2017","90","","Colliers Mills","34-029-0006","AQS"
"04/29/2017","51","","RIVERHEAD","36-103-0004","AQS"
"04/30/2017","43","","SUSAN WAGNER HS","36-085-0067","AQS"
"05/01/2017","31","","Chester","34-027-3001","AQS"
"05/02/2017","49","","Colliers Mills","34-029-0006","AQS"
"05/03/2017","44","","MT NINHAM","36-079-0005","AQS"
"05/04/2017","48","","MT NINHAM","36-079-0005","AQS"
"05/05/2017","40","","RIVERHEAD","36-103-0004","AQS"
"05/06/2017","41","","RIVERHEAD","36-103-0004","AQS"
"05/07/2017","36","","RIVERHEAD","36-103-0004","AQS"
"05/08/2017","38","","Flemington","34-019-0001","AQS"
"05/09/2017","48","","Colliers Mills","34-029-0006","AQS"
"05/10/2017","44","","Flemington","34-019-0001","AQS"
"05/11/2017","40","","MT NINHAM","36-079-0005","AQS"
"05/12/2017","39","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"05/13/2017","38","","MT NINHAM","36-079-0005","AQS"
"05/14/2017","45","","Leonia","34-003-0006","AQS"
"05/15/2017","39","","Colliers Mills","34-029-0006","AQS"
"05/16/2017","61","","Colliers Mills","34-029-0006","AQS"
"05/17/2017","136","","SUSAN WAGNER HS","36-085-0067","AQS"
"05/18/2017","140","","RIVERHEAD","36-103-0004","AQS"
"05/19/2017","101","","BABYLON","36-103-0002","AQS"
"05/20/2017","38","","Leonia","34-003-0006","AQS"
"05/21/2017","46","","MILLBROOK","36-027-0007","AQS"
"05/22/2017","33","","RIVERHEAD","36-103-0004","AQS"
"05/23/2017","46","","Leonia","34-003-0006","AQS"
"05/24/2017","48","","Chester","34-027-3001","AQS"
"05/25/2017","40","","Leonia","34-003-0006","AQS"
"05/26/2017","40","","BABYLON","36-103-0002","AQS"
"05/27/2017","40","","Colliers Mills","34-029-0006","AQS"
"05/28/2017","44","","Chester","34-027-3001","AQS"
"05/29/2017","33","","Colliers Mills","34-029-0006","AQS"
"05/30/2017","31","","MILLBROOK","36-027-0007","AQS"
"05/31/2017","58","","Rutgers University","34-023-0011","AQS"
"06/01/2017","71","","Colliers Mills","34-029-0006","AQS"
"06/02/2017","48","","Colliers Mills","34-029-0006","AQS"
"06/03/2017","41","","Colliers Mills","34-029-0006","AQS"
"06/04/2017","44","","Colliers Mills","34-029-0006","AQS"
"06/05/2017","38","","Flemington","34-019-0001","AQS"
"06/06/2017","27","","RIVERHEAD","36-103-0004","AQS"
"06/07/2017","41","","Leonia","34-003-0006","AQS"
"06/08/2017","43","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"06/09/2017","58","","Colliers Mills","34-029-0006","AQS"
"06/10/2017","112","","Leonia","34-003-0006","AQS"
"06/11/2017","108","","BABYLON","36-103-0002","AQS"
"06/12/2017","159","","BABYLON","36-103-0002","AQS"
"06/13/2017","156","","RIVERHEAD","36-103-0004","AQS"
"06/14/2017","61","","Flemington","34-019-0001","AQS"
"06/15/2017","47","","Chester","34-027-3001","AQS"
"06/16/2017","28","","Colliers Mills","34-029-0006","AQS"
"06/17/2017","32","","BABYLON","36-103-0002","AQS"
"06/18/2017","40","","Chester","34-027-3001","AQS"
"06/19/2017","35","","Leonia","34-003-0006","AQS"
"06/20/2017","74","","Colliers Mills","34-029-0006","AQS"
"06/21/2017","97","","RIVERHEAD","36-103-0004","AQS"
"06/22/2017","126","","Rutgers University","34-023-0011","AQS"
"06/23/2017","46","","MT NINHAM","36-079-0005","AQS"
"06/24/2017","44","","Leonia","34-003-0006","AQS"
"06/25/2017","54","","Leonia","34-003-0006","AQS"
"06/26/2017","67","","Colliers Mills","34-029-0006","AQS"
"06/27/2017","64","","BABYLON","36-103-0002","AQS"
"06/28/2017","43","","Flemington","34-019-0001","AQS"
"06/29/2017","93","","Flemington","34-019-0001","AQS"
"06/30/2017","129","","Leonia","34-003-0006","AQS"
"07/01/2017","34","","Flemington","34-019-0001","AQS"
"07/02/2017","77","","Colliers Mills","34-029-0006","AQS"
"07/03/2017","97","","BABYLON","36-103-0002","AQS"
"07/04/2017","80","","SUSAN WAGNER HS","36-085-0067","AQS"
"07/05/2017","51","","Leonia","34-003-0006","AQS"
"07/06/2017","36","","MILLBROOK","36-027-0007","AQS"
"07/07/2017","44","","Flemington","34-019-0001","AQS"
"07/08/2017","80","","RIVERHEAD","36-103-0004","AQS"
"07/09/2017","48","","HOLTSVILLE","36-103-0009","AQS"
"07/10/2017","61","","MILLBROOK","36-027-0007","AQS"
"07/11/2017","97","","RIVERHEAD","36-103-0004","AQS"
"07/12/2017","108","","RIVERHEAD","36-103-0004","AQS"
"07/13/2017","119","","RIVERHEAD","36-103-0004","AQS"
"07/14/2017","26","","Colliers Mills","34-029-0006","AQS"
"07/15/2017","67","","BABYLON","36-103-0002","AQS"
"07/16/2017","64","","PFIZER LAB SITE","36-005-0133","AQS"
"07/17/2017","80","","Rockland County","36-087-0005","AQS"
"07/18/2017","80","","MT NINHAM","36-079-0005","AQS"
"07/19/2017","112","","Colliers Mills","34-029-0006","AQS"
"07/20/2017","122","","Colliers Mills","34-029-0006","AQS"
"07/21/2017","80","","Colliers Mills","34-029-0006","AQS"
"07/22/2017","136","","IS 52","36-005-0110","AQS"
"07/23/2017","74","","QUEENS COLLEGE 2","36-081-0124","AQS"
"07/24/2017","38","","Colliers Mills","34-029-0006","AQS"
"07/25/2017","31","","Colliers Mills","34-029-0006","AQS"
"07/26/2017","45","","WHITE PLAINS","36-119-2004","AQS"
"07/27/2017","43","","Rutgers University","34-023-0011","AQS"
"07/28/2017","80","","Flemington","34-019-0001","AQS"
"07/29/2017","31","","Chester","34-027-3001","AQS"
"07/30/2017","45","","Colliers Mills","34-029-0006","AQS"
"07/31/2017","100","","SUSAN WAGNER HS","36-085-0067","AQS"
"08/01/2017","122","","BABYLON","36-103-0002","AQS"
"08/02/2017","61","","RIVERHEAD","36-103-0004","AQS"
"08/03/2017","108","","MT NINHAM","36-079-0005","AQS"
"08/04/2017","49","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"08/05/2017","48","","RIVERHEAD","36-103-0004","AQS"
