"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"11/05/2013","45","","Miami Fire Station","12-086-1016","AQS"
"11/06/2013","40","","Miami Fire Station","12-086-1016","AQS"
"11/07/2013","36","","Miami Fire Station","12-086-1016","AQS"
"11/08/2013","37","","Miami Fire Station","12-086-1016","AQS"
"11/09/2013","34","","Belle Glade","12-099-0008","AQS"
"11/10/2013","29","","Miami Fire Station","12-086-1016","AQS"
"11/11/2013","35","","Miami Fire Station","12-086-1016","AQS"
"11/12/2013","37","","Miami Fire Station","12-086-1016","AQS"
"11/13/2013","50","","Belle Glade","12-099-0008","AQS"
"11/14/2013","34","","Belle Glade","12-099-0008","AQS"
"11/15/2013","37","","Miami Fire Station","12-086-1016","AQS"
"11/16/2013","35","","Miami Fire Station","12-086-1016","AQS"
"11/17/2013","30","","Miami Fire Station","12-086-1016","AQS"
"11/18/2013","37","","Miami Fire Station","12-086-1016","AQS"
"11/19/2013","49","","Miami Fire Station","12-086-1016","AQS"
"11/20/2013","43","","Belle Glade","12-099-0008","AQS"
"11/21/2013","36","","Miami Fire Station","12-086-1016","AQS"
"11/22/2013","37","","Belle Glade","12-099-0008","AQS"
"11/23/2013","29","","Miami Fire Station","12-086-1016","AQS"
"11/24/2013","35","","Belle Glade","12-099-0008","AQS"
"11/25/2013","35","","Miami Fire Station","12-086-1016","AQS"
"11/26/2013","38","","Belle Glade","12-099-0008","AQS"
"11/27/2013","24","","Belle Glade","12-099-0008","AQS"
"11/28/2013","38","","Belle Glade","12-099-0008","AQS"
"11/29/2013","27","","Belle Glade","12-099-0008","AQS"
"11/30/2013","30","","Belle Glade","12-099-0008","AQS"
"12/01/2013","23","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"12/02/2013","28","","Belle Glade","12-099-0008","AQS"
"12/03/2013","50","","Belle Glade","12-099-0008","AQS"
"12/04/2013","38","","Belle Glade","12-099-0008","AQS"
"12/05/2013","27","","Belle Glade","12-099-0008","AQS"
"12/06/2013","34","","Belle Glade","12-099-0008","AQS"
"12/07/2013","40","","Belle Glade","12-099-0008","AQS"
"12/08/2013","28","","Belle Glade","12-099-0008","AQS"
"12/09/2013","36","","Belle Glade","12-099-0008","AQS"
"12/10/2013","34","","Belle Glade","12-099-0008","AQS"
"12/11/2013","30","","Belle Glade","12-099-0008","AQS"
"12/12/2013","33","","Belle Glade","12-099-0008","AQS"
"12/13/2013","33","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"12/14/2013","35","","Belle Glade","12-099-0008","AQS"
"12/15/2013","33","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"12/16/2013","41","","Belle Glade","12-099-0008","AQS"
"12/17/2013","36","","Belle Glade","12-099-0008","AQS"
"12/18/2013","54","","Royal Palm Beach","12-099-0009","AQS"
"12/19/2013","40","","Royal Palm Beach","12-099-0009","AQS"
"12/20/2013","40","","Belle Glade","12-099-0008","AQS"
"12/21/2013","28","","Belle Glade","12-099-0008","AQS"
"12/22/2013","33","","Vista View Park","12-011-0033","AQS"
"12/23/2013","31","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"12/24/2013","29","","U of F Ag Research Center","12-011-1002","AQS"
"12/25/2013","31","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"12/26/2013","28","","Belle Glade","12-099-0008","AQS"
"12/27/2013","29","","U of F Ag Research Center","12-011-1002","AQS"
"12/28/2013","23","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"12/29/2013","33","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"12/30/2013","40","","Vista View Park","12-011-0033","AQS"
"12/31/2013","34","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/01/2014","32","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/02/2014","26","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/03/2014","42","","Belle Glade","12-099-0008","AQS"
"01/04/2014","44","","Belle Glade","12-099-0008","AQS"
"01/05/2014","36","","Belle Glade","12-099-0008","AQS"
"01/06/2014","52","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/07/2014","30","","Belle Glade","12-099-0008","AQS"
"01/08/2014","24","","Belle Glade","12-099-0008","AQS"
"01/09/2014","25","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/10/2014","23","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/11/2014","28","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/12/2014","55","","Belle Glade","12-099-0008","AQS"
"01/13/2014","49","","Belle Glade","12-099-0008","AQS"
"01/14/2014","50","","Belle Glade","12-099-0008","AQS"
"01/15/2014","44","","Belle Glade","12-099-0008","AQS"
"01/16/2014","35","","Belle Glade","12-099-0008","AQS"
"01/17/2014","41","","Belle Glade","12-099-0008","AQS"
"01/18/2014","53","","Vista View Park","12-011-0033","AQS"
"01/19/2014","44","","Belle Glade","12-099-0008","AQS"
"01/20/2014","47","","Belle Glade","12-099-0008","AQS"
"01/21/2014","33","","Belle Glade","12-099-0008","AQS"
"01/22/2014","41","","Royal Palm Beach","12-099-0009","AQS"
"01/23/2014","41","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/24/2014","42","","Belle Glade","12-099-0008","AQS"
"01/25/2014","48","","Belle Glade","12-099-0008","AQS"
"01/26/2014","38","","Royal Palm Beach","12-099-0009","AQS"
"01/27/2014","38","","Belle Glade","12-099-0008","AQS"
"01/28/2014","34","","Belle Glade","12-099-0008","AQS"
"01/29/2014","33","","Miami Fire Station","12-086-1016","AQS"
"01/30/2014","27","","Miami Fire Station","12-086-1016","AQS"
"01/31/2014","46","","Miami Fire Station","12-086-1016","AQS"
"02/01/2014","30","","Miami Fire Station","12-086-1016","AQS"
"02/02/2014","33","","Miami Fire Station","12-086-1016","AQS"
"02/03/2014","38","","Miami Fire Station","12-086-1016","AQS"
"02/04/2014","40","","Palm Springs Fire Station","12-086-0033","AQS"
"02/05/2014","33","","Miami Fire Station","12-086-1016","AQS"
"02/06/2014","29","","Miami Fire Station","12-086-1016","AQS"
"02/07/2014","35","","Miami Fire Station","12-086-1016","AQS"
"02/08/2014","35","","Miami Fire Station","12-086-1016","AQS"
"02/09/2014","35","","Miami Fire Station","12-086-1016","AQS"
"02/10/2014","41","","Miami Fire Station","12-086-1016","AQS"
"02/11/2014","38","","Miami Fire Station","12-086-1016","AQS"
"02/12/2014","37","","Miami Fire Station","12-086-1016","AQS"
"02/13/2014","25","","Miami Fire Station","12-086-1016","AQS"
"02/14/2014","52","","Belle Glade","12-099-0008","AQS"
"02/15/2014","31","","Miami Fire Station","12-086-1016","AQS"
"02/16/2014","34","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/17/2014","40","","Miami Fire Station","12-086-1016","AQS"
"02/18/2014","39","","Belle Glade","12-099-0008","AQS"
"02/19/2014","34","","Miami Fire Station","12-086-1016","AQS"
"02/20/2014","38","","Miami Fire Station","12-086-1016","AQS"
"02/21/2014","30","","Miami Fire Station","12-086-1016","AQS"
"02/22/2014","30","","Vista View Park","12-011-0033","AQS"
"02/23/2014","31","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/24/2014","37","","Miami Fire Station","12-086-1016","AQS"
"02/25/2014","50","","Miami Fire Station","12-086-1016","AQS"
"02/26/2014","49","","Miami Fire Station","12-086-1016","AQS"
"02/27/2014","48","","Miami Fire Station","12-086-1016","AQS"
"02/28/2014","46","","Pompano Highlands","12-011-2003","AQS"
"03/01/2014","41","","Miami Fire Station","12-086-1016","AQS"
"03/02/2014","33","","Vista View Park","12-011-0033","AQS"
"03/03/2014","35","","Miami Fire Station","12-086-1016","AQS"
"03/04/2014","44","","Miami Fire Station","12-086-1016","AQS"
"03/05/2014","33","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"03/06/2014","30","","Miami Fire Station","12-086-1016","AQS"
"03/07/2014","28","","Miami Fire Station","12-086-1016","AQS"
"03/08/2014","38","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"03/09/2014","31","","Miami Fire Station","12-086-1016","AQS"
"03/10/2014","37","","Belle Glade","12-099-0008","AQS"
"03/11/2014","35","","Miami Fire Station","12-086-1016","AQS"
"03/12/2014","43","","Miami Fire Station","12-086-1016","AQS"
"03/13/2014","40","","Miami Fire Station","12-086-1016","AQS"
"03/14/2014","35","","Miami Fire Station","12-086-1016","AQS"
"03/15/2014","35","","Miami Fire Station","12-086-1016","AQS"
"03/16/2014","30","","Miami Fire Station","12-086-1016","AQS"
"03/17/2014","45","","Miami Fire Station","12-086-1016","AQS"
"03/18/2014","39","","Miami Fire Station","12-086-1016","AQS"
"03/19/2014","51","","Miami Fire Station","12-086-1016","AQS"
"03/20/2014","48","","Miami Fire Station","12-086-1016","AQS"
"03/21/2014","54","","Miami Fire Station","12-086-1016","AQS"
"03/22/2014","44","","Belle Glade","12-099-0008","AQS"
"03/23/2014","52","","Miami Fire Station","12-086-1016","AQS"
"03/24/2014","50","","U of F Ag Research Center","12-011-1002","AQS"
"03/25/2014","22","","Miami Fire Station","12-086-1016","AQS"
"03/26/2014","44","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"03/27/2014","45","","Miami Fire Station","12-086-1016","AQS"
"03/28/2014","51","","Miami Fire Station","12-086-1016","AQS"
"03/29/2014","39","","Miami Fire Station","12-086-1016","AQS"
"03/30/2014","29","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"03/31/2014","37","","Miami Fire Station","12-086-1016","AQS"
"04/01/2014","41","","Miami Fire Station","12-086-1016","AQS"
"04/02/2014","50","","Belle Glade","12-099-0008","AQS"
"04/03/2014","65","","Belle Glade","12-099-0008","AQS"
"04/04/2014","35","","Miami Fire Station","12-086-1016","AQS"
"04/05/2014","36","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"04/06/2014","36","","Miami Fire Station","12-086-1016","AQS"
"04/07/2014","49","","Miami Fire Station","12-086-1016","AQS"
"04/08/2014","42","","Miami Fire Station","12-086-1016","AQS"
"04/09/2014","38","","Miami Fire Station","12-086-1016","AQS"
"04/10/2014","46","","Belle Glade","12-099-0008","AQS"
"04/11/2014","46","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"04/12/2014","39","","Miami Fire Station","12-086-1016","AQS"
"04/13/2014","34","","Miami Fire Station","12-086-1016","AQS"
"04/14/2014","35","","Miami Fire Station","12-086-1016","AQS"
"04/15/2014","41","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"04/16/2014","50","","Miami Fire Station","12-086-1016","AQS"
"04/17/2014","39","","Miami Fire Station","12-086-1016","AQS"
"04/18/2014","28","","Miami Fire Station","12-086-1016","AQS"
"04/19/2014","26","","Miami Fire Station","12-086-1016","AQS"
"04/20/2014","19","","Miami Fire Station","12-086-1016","AQS"
"04/21/2014","49","","Vista View Park","12-011-0033","AQS"
"04/22/2014","43","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"04/23/2014","55","","Vista View Park","12-011-0033","AQS"
"04/24/2014","47","","Vista View Park","12-011-0033","AQS"
"04/25/2014","52","","Miami Fire Station","12-086-1016","AQS"
"04/26/2014","57","","Miami Fire Station","12-086-1016","AQS"
"04/27/2014","45","","Miami Fire Station","12-086-1016","AQS"
"04/28/2014","39","","Miami Fire Station","12-086-1016","AQS"
"04/29/2014","44","","U of F Ag Research Center","12-011-1002","AQS"
"04/30/2014","50","","Miami Fire Station","12-086-1016","AQS"
"05/01/2014","40","","Miami Fire Station","12-086-1016","AQS"
"05/02/2014","35","","Miami Fire Station","12-086-1016","AQS"
"05/03/2014","50","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"05/04/2014","35","","Miami Fire Station","12-086-1016","AQS"
"05/05/2014","45","","Miami Fire Station","12-086-1016","AQS"
"05/06/2014","46","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
