Date,PM2.5 AQI Value,Site Name,Site ID,Source
05/19/2020,31,Glendora,06-037-0016,AQS
05/20/2020,39,Long Beach (south),06-037-4004,AQS
05/21/2020,51,Long Beach (south),06-037-4004,AQS
05/22/2020,67,Reseda,06-037-1201,AQS
05/23/2020,70,Reseda,06-037-1201,AQS
05/24/2020,71,Reseda,06-037-1201,AQS
05/25/2020,74,Reseda,06-037-1201,AQS
05/26/2020,76,Reseda,06-037-1201,AQS
05/27/2020,66,Glendora,06-037-0016,AQS
05/28/2020,63,Glendora,06-037-0016,AQS
05/29/2020,54,Reseda,06-037-1201,AQS
05/30/2020,56,Pico Rivera #2,06-037-1602,AQS
05/31/2020,49,Reseda,06-037-1201,AQS
06/01/2020,51,Glendora,06-037-0016,AQS
06/02/2020,58,Glendora,06-037-0016,AQS
06/03/2020,60,Long Beach (south),06-037-4004,AQS
06/04/2020,62,Reseda,06-037-1201,AQS
06/05/2020,49,Reseda,06-037-1201,AQS
06/06/2020,38,North Hollywood (noho),06-037-4010,AQS
06/07/2020,45,Long Beach (south),06-037-4004,AQS
06/08/2020,36,Long Beach (south),06-037-4004,AQS
06/09/2020,40,Long Beach-route 710 Near Road,06-037-4008,AQS
06/10/2020,58,Long Beach-route 710 Near Road,06-037-4008,AQS
06/11/2020,55,North Hollywood (noho),06-037-4010,AQS
06/12/2020,55,Glendora,06-037-0016,AQS
06/13/2020,51,Glendora,06-037-0016,AQS
06/14/2020,52,North Hollywood (noho),06-037-4010,AQS
06/15/2020,54,Glendora,06-037-0016,AQS
06/16/2020,56,Reseda,06-037-1201,AQS
06/17/2020,55,Reseda,06-037-1201,AQS
06/18/2020,54,Reseda,06-037-1201,AQS
06/19/2020,58,Reseda,06-037-1201,AQS
06/20/2020,58,Reseda,06-037-1201,AQS
06/21/2020,59,Glendora,06-037-0016,AQS
06/22/2020,64,Glendora,06-037-0016,AQS
06/23/2020,67,Glendora,06-037-0016,AQS
06/24/2020,61,Glendora,06-037-0016,AQS
06/25/2020,58,Reseda,06-037-1201,AQS
06/26/2020,54,Glendora,06-037-0016,AQS
06/27/2020,55,Los Angeles-north Main Street,06-037-1103,AQS
06/28/2020,33,Reseda,06-037-1201,AQS
06/29/2020,36,Reseda,06-037-1201,AQS
06/30/2020,51,Reseda,06-037-1201,AQS
07/01/2020,58,Reseda,06-037-1201,AQS
07/02/2020,55,Glendora,06-037-0016,AQS
