Date,Ozone AQI Value,Site Name,Site ID,Source
02/06/2015,36,Millbrook,36-027-0007,AQS
02/07/2015,30,Millbrook,36-027-0007,AQS
02/08/2015,32,Millbrook,36-027-0007,AQS
02/09/2015,34,Millbrook,36-027-0007,AQS
02/10/2015,37,Chester,34-027-3001,AQS
02/11/2015,39,Millbrook,36-027-0007,AQS
02/12/2015,31,Flemington,34-019-0001,AQS
02/13/2015,37,Millbrook,36-027-0007,AQS
02/14/2015,31,Babylon,36-103-0002,AQS
02/15/2015,36,Millbrook,36-027-0007,AQS
02/16/2015,40,Millbrook,36-027-0007,AQS
02/17/2015,42,Millbrook,36-027-0007,AQS
02/18/2015,42,Millbrook,36-027-0007,AQS
02/19/2015,38,Millbrook,36-027-0007,AQS
02/20/2015,37,Millbrook,36-027-0007,AQS
02/21/2015,35,Rutgers University,34-023-0011,AQS
02/22/2015,39,Chester,34-027-3001,AQS
02/23/2015,38,Chester,34-027-3001,AQS
02/24/2015,33,Chester,34-027-3001,AQS
02/25/2015,41,Mt Ninham,36-079-0005,AQS
02/26/2015,37,Chester,34-027-3001,AQS
02/27/2015,38,Chester,34-027-3001,AQS
02/28/2015,42,Chester,34-027-3001,AQS
03/01/2015,35,Rutgers University,34-023-0011,AQS
03/02/2015,44,Rutgers University,34-023-0011,AQS
03/03/2015,38,Chester,34-027-3001,AQS
03/04/2015,32,Ramapo,34-031-5001,AQS
03/05/2015,38,Chester,34-027-3001,AQS
03/06/2015,36,Chester,34-027-3001,AQS
03/07/2015,45,Chester,34-027-3001,AQS
03/08/2015,58,Colliers Mills,34-029-0006,AQS
03/09/2015,49,Chester,34-027-3001,AQS
03/10/2015,47,Colliers Mills,34-029-0006,AQS
03/11/2015,49,Chester,34-027-3001,AQS
03/12/2015,44,Chester,34-027-3001,AQS
03/13/2015,44,Monmouth University,34-025-0005,AQS
03/14/2015,41,Monmouth University,34-025-0005,AQS
03/15/2015,39,Chester,34-027-3001,AQS
03/16/2015,39,Millbrook,36-027-0007,AQS
03/17/2015,39,Chester,34-027-3001,AQS
03/18/2015,44,Riverhead,36-103-0004,AQS
03/19/2015,47,Riverhead,36-103-0004,AQS
03/20/2015,47,Riverhead,36-103-0004,AQS
03/21/2015,41,Riverhead,36-103-0004,AQS
03/22/2015,41,Colliers Mills,34-029-0006,AQS
03/23/2015,42,Riverhead,36-103-0004,AQS
03/24/2015,42,Chester,34-027-3001,AQS
03/25/2015,38,Riverhead,36-103-0004,AQS
03/26/2015,37,Babylon,36-103-0002,AQS
03/27/2015,35,Mt Ninham,36-079-0005,AQS
03/28/2015,38,Mt Ninham,36-079-0005,AQS
03/29/2015,44,Chester,34-027-3001,AQS
03/30/2015,41,Riverhead,36-103-0004,AQS
03/31/2015,38,Millbrook,36-027-0007,AQS
04/01/2015,46,Millbrook,36-027-0007,AQS
04/02/2015,58,Chester,34-027-3001,AQS
04/03/2015,42,Riverhead,36-103-0004,AQS
04/04/2015,40,Mt Ninham,36-079-0005,AQS
04/05/2015,47,Monmouth University,34-025-0005,AQS
04/06/2015,50,Chester,34-027-3001,AQS
04/07/2015,39,Colliers Mills,34-029-0006,AQS
04/08/2015,42,Monmouth University,34-025-0005,AQS
04/09/2015,42,Monmouth University,34-025-0005,AQS
04/10/2015,39,Monmouth University,34-025-0005,AQS
04/11/2015,46,Colliers Mills,34-029-0006,AQS
04/12/2015,50,Rutgers University,34-023-0011,AQS
04/13/2015,58,Rutgers University,34-023-0011,AQS
04/14/2015,44,Mt Ninham,36-079-0005,AQS
04/15/2015,46,Rutgers University,34-023-0011,AQS
04/16/2015,48,Mt Ninham,36-079-0005,AQS
04/17/2015,44,Ramapo,34-031-5001,AQS
04/18/2015,84,Susan Wagner Hs,36-085-0067,AQS
04/19/2015,44,Mt Ninham,36-079-0005,AQS
04/20/2015,47,Riverhead,36-103-0004,AQS
04/21/2015,44,Monmouth University,34-025-0005,AQS
04/22/2015,47,Mt Ninham,36-079-0005,AQS
04/23/2015,36,Monmouth University,34-025-0005,AQS
04/24/2015,46,Colliers Mills,34-029-0006,AQS
04/25/2015,42,Colliers Mills,34-029-0006,AQS
04/26/2015,43,Leonia,34-003-0006,AQS
04/27/2015,38,Colliers Mills,34-029-0006,AQS
04/28/2015,46,Colliers Mills,34-029-0006,AQS
04/29/2015,54,Colliers Mills,34-029-0006,AQS
04/30/2015,44,Ramapo,34-031-5001,AQS
05/01/2015,40,Valley Central High School,36-071-5001,AQS
05/02/2015,46,Millbrook,36-027-0007,AQS
05/03/2015,51,Flemington,34-019-0001,AQS
05/04/2015,100,Mt Ninham,36-079-0005,AQS
05/05/2015,122,Colliers Mills,34-029-0006,AQS
05/06/2015,58,Colliers Mills,34-029-0006,AQS
05/07/2015,87,Ramapo,34-031-5001,AQS
05/08/2015,140,Mt Ninham,36-079-0005,AQS
05/09/2015,38,Monmouth University,34-025-0005,AQS
05/10/2015,36,Millbrook,36-027-0007,AQS
05/11/2015,45,Mt Ninham,36-079-0005,AQS
05/12/2015,77,Monmouth University,34-025-0005,AQS
05/13/2015,35,Newark Firehouse,34-013-0003,AQS
05/14/2015,64,Colliers Mills,34-029-0006,AQS
05/15/2015,84,Colliers Mills,34-029-0006,AQS
05/16/2015,58,Flemington,34-019-0001,AQS
05/17/2015,108,Susan Wagner Hs,36-085-0067,AQS
05/18/2015,42,Riverhead,36-103-0004,AQS
05/19/2015,47,Colliers Mills,34-029-0006,AQS
05/20/2015,36,Ramapo,34-031-5001,AQS
05/21/2015,43,Millbrook,36-027-0007,AQS
05/22/2015,61,Colliers Mills,34-029-0006,AQS
05/23/2015,48,Colliers Mills,34-029-0006,AQS
05/24/2015,100,Susan Wagner Hs,36-085-0067,AQS
05/25/2015,87,Rockland County,36-087-0005,AQS
05/26/2015,101,Ramapo,34-031-5001,AQS
05/27/2015,45,Millbrook,36-027-0007,AQS
05/28/2015,61,Flemington,34-019-0001,AQS
05/29/2015,77,Flemington,34-019-0001,AQS
05/30/2015,44,Millbrook,36-027-0007,AQS
05/31/2015,35,Leonia,34-003-0006,AQS
06/01/2015,32,Riverhead,36-103-0004,AQS
06/02/2015,24,Riverhead,36-103-0004,AQS
06/03/2015,37,Rockland County,36-087-0005,AQS
06/04/2015,38,Rockland County,36-087-0005,AQS
06/05/2015,39,Monmouth University,34-025-0005,AQS
06/06/2015,46,Colliers Mills,34-029-0006,AQS
06/07/2015,49,Valley Central High School,36-071-5001,AQS
06/08/2015,54,Flemington,34-019-0001,AQS
06/09/2015,80,Colliers Mills,34-029-0006,AQS
06/10/2015,93,Colliers Mills,34-029-0006,AQS
06/11/2015,154,Monmouth University,34-025-0005,AQS
06/12/2015,147,Valley Central High School,36-071-5001,AQS
06/13/2015,93,Monmouth University,34-025-0005,AQS
06/14/2015,119,Leonia,34-003-0006,AQS
06/15/2015,45,Colliers Mills,34-029-0006,AQS
06/16/2015,44,Colliers Mills,34-029-0006,AQS
06/17/2015,44,Flemington,34-019-0001,AQS
06/18/2015,41,Monmouth University,34-025-0005,AQS
06/19/2015,48,Monmouth University,34-025-0005,AQS
06/20/2015,47,Colliers Mills,34-029-0006,AQS
06/21/2015,43,Colliers Mills,34-029-0006,AQS
06/22/2015,84,Colliers Mills,34-029-0006,AQS
06/23/2015,67,Queens College 2,36-081-0124,AQS
06/24/2015,67,Monmouth University,34-025-0005,AQS
06/25/2015,54,Colliers Mills,34-029-0006,AQS
06/26/2015,105,Rutgers University,34-023-0011,AQS
06/27/2015,40,Monmouth University,34-025-0005,AQS
06/28/2015,40,Colliers Mills,34-029-0006,AQS
06/29/2015,44,Colliers Mills,34-029-0006,AQS
06/30/2015,46,Rockland County,36-087-0005,AQS
07/01/2015,108,Monmouth University,34-025-0005,AQS
07/02/2015,47,Leonia,34-003-0006,AQS
07/03/2015,84,Susan Wagner Hs,36-085-0067,AQS
07/04/2015,51,Bayonne,34-017-0006,AQS
07/05/2015,90,Babylon,36-103-0002,AQS
07/06/2015,80,Rockland County,36-087-0005,AQS
07/07/2015,64,Rutgers University,34-023-0011,AQS
07/08/2015,71,Riverhead,36-103-0004,AQS
07/09/2015,44,Rutgers University,34-023-0011,AQS
07/10/2015,61,Monmouth University,34-025-0005,AQS
07/11/2015,105,Rutgers University,34-023-0011,AQS
07/12/2015,100,Babylon,36-103-0002,AQS
07/13/2015,129,Rockland County,36-087-0005,AQS
07/14/2015,41,Valley Central High School,36-071-5001,AQS
07/15/2015,45,Riverhead,36-103-0004,AQS
07/16/2015,61,Rutgers University,34-023-0011,AQS
07/17/2015,87,Rockland County,36-087-0005,AQS
07/18/2015,47,Rutgers University,34-023-0011,AQS
07/19/2015,108,Susan Wagner Hs,36-085-0067,AQS
07/20/2015,126,Babylon,36-103-0002,AQS
07/21/2015,101,Riverhead,36-103-0004,AQS
07/22/2015,45,Colliers Mills,34-029-0006,AQS
07/23/2015,49,Monmouth University,34-025-0005,AQS
07/24/2015,87,Susan Wagner Hs,36-085-0067,AQS
07/25/2015,126,Monmouth University,34-025-0005,AQS
07/26/2015,77,Leonia,34-003-0006,AQS
07/27/2015,80,Rockland County,36-087-0005,AQS
07/28/2015,133,Bayonne,34-017-0006,AQS
07/29/2015,136,Rutgers University,34-023-0011,AQS
07/30/2015,43,Rutgers University,34-023-0011,AQS
07/31/2015,74,Monmouth University,34-025-0005,AQS
08/01/2015,119,Riverhead,36-103-0004,AQS
08/02/2015,74,Susan Wagner Hs,36-085-0067,AQS
08/03/2015,93,Bayonne,34-017-0006,AQS
08/04/2015,108,Riverhead,36-103-0004,AQS
08/05/2015,84,Colliers Mills,34-029-0006,AQS
08/06/2015,49,Susan Wagner Hs,36-085-0067,AQS
08/07/2015,50,Rutgers University,34-023-0011,AQS
08/08/2015,51,Flemington,34-019-0001,AQS
08/09/2015,51,Rutgers University,34-023-0011,AQS
08/10/2015,39,Millbrook,36-027-0007,AQS
08/11/2015,38,Colliers Mills,34-029-0006,AQS
08/12/2015,47,Riverhead,36-103-0004,AQS
08/13/2015,50,Monmouth University,34-025-0005,AQS
08/14/2015,87,Colliers Mills,34-029-0006,AQS
08/15/2015,129,Babylon,36-103-0002,AQS
08/16/2015,129,Babylon,36-103-0002,AQS
08/17/2015,122,Bayonne,34-017-0006,AQS
08/18/2015,87,Ramapo,34-031-5001,AQS
08/19/2015,47,Valley Central High School,36-071-5001,AQS
08/20/2015,31,Valley Central High School,36-071-5001,AQS
08/21/2015,77,Susan Wagner Hs,36-085-0067,AQS
08/22/2015,87,Bayonne,34-017-0006,AQS
08/23/2015,74,Rutgers University,34-023-0011,AQS
08/24/2015,112,Rockland County,36-087-0005,AQS
