Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
04/26/2015,43,Ozone,Leonia,34-003-0006,AQS
04/27/2015,38,Ozone,Colliers Mills,34-029-0006,AQS
04/28/2015,46,Ozone,Colliers Mills,34-029-0006,AQS
04/29/2015,54,Ozone,Colliers Mills,34-029-0006,AQS
04/30/2015,44,Ozone,Ramapo,34-031-5001,AQS
05/01/2015,40,Ozone,Valley Central High School,36-071-5001,AQS
05/02/2015,52,PM2.5,Fort Lee Near Road,34-003-0010,AQS
05/03/2015,52,NO2,Pfizer Lab Site,36-005-0133,AQS
05/04/2015,100,Ozone,Mt Ninham,36-079-0005,AQS
05/05/2015,122,Ozone,Colliers Mills,34-029-0006,AQS
05/06/2015,58,Ozone,Colliers Mills,34-029-0006,AQS
05/07/2015,87,Ozone,Ramapo,34-031-5001,AQS
05/08/2015,140,Ozone,Mt Ninham,36-079-0005,AQS
05/09/2015,69,PM2.5,Newark Firehouse,34-013-0003,AQS
05/10/2015,54,PM2.5,Fort Lee Near Road,34-003-0010,AQS
05/11/2015,78,PM2.5,Maspeth Library,36-081-0120,AQS
05/12/2015,77,Ozone,Monmouth University,34-025-0005,AQS
05/13/2015,35,Ozone,Newark Firehouse,34-013-0003,AQS
05/14/2015,64,Ozone,Colliers Mills,34-029-0006,AQS
05/15/2015,84,Ozone,Colliers Mills,34-029-0006,AQS
05/16/2015,58,Ozone,Flemington,34-019-0001,AQS
05/17/2015,108,Ozone,Susan Wagner Hs,36-085-0067,AQS
05/18/2015,68,PM2.5,Fort Lee Near Road,34-003-0010,AQS
05/19/2015,60,PM2.5,Fort Lee Near Road,34-003-0010,AQS
05/20/2015,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS
05/21/2015,43,Ozone,Millbrook,36-027-0007,AQS
05/22/2015,61,Ozone,Colliers Mills,34-029-0006,AQS
05/23/2015,48,Ozone,Colliers Mills,34-029-0006,AQS
05/24/2015,100,Ozone,Susan Wagner Hs,36-085-0067,AQS
05/25/2015,87,Ozone,Rockland County,36-087-0005,AQS
05/26/2015,101,Ozone,Ramapo,34-031-5001,AQS
05/27/2015,56,PM2.5,Fort Lee Library,34-003-0003,AQS
05/28/2015,61,Ozone,Flemington,34-019-0001,AQS
05/29/2015,77,Ozone,Flemington,34-019-0001,AQS
05/30/2015,50,PM2.5,Paterson,34-031-0005,AQS
05/31/2015,45,PM2.5,Fort Lee Near Road,34-003-0010,AQS
06/01/2015,35,NO2,Elizabeth Lab,34-039-0004,AQS
06/02/2015,26,NO2,Elizabeth Lab,34-039-0004,AQS
06/03/2015,37,Ozone,Rockland County,36-087-0005,AQS
06/04/2015,38,Ozone,Rockland County,36-087-0005,AQS
06/05/2015,50,NO2,Fort Lee Near Road,34-003-0010,AQS
06/06/2015,46,Ozone,Colliers Mills,34-029-0006,AQS
06/07/2015,49,Ozone,Valley Central High School,36-071-5001,AQS
06/08/2015,54,Ozone,Flemington,34-019-0001,AQS
06/09/2015,80,Ozone,Colliers Mills,34-029-0006,AQS
06/10/2015,93,Ozone,Colliers Mills,34-029-0006,AQS
06/11/2015,154,Ozone,Monmouth University,34-025-0005,AQS
06/12/2015,147,Ozone,Valley Central High School,36-071-5001,AQS
06/13/2015,93,Ozone,Monmouth University,34-025-0005,AQS
06/14/2015,119,Ozone,Leonia,34-003-0006,AQS
06/15/2015,54,PM2.5,Elizabeth Lab,34-039-0004,AQS
06/16/2015,55,PM2.5,Elizabeth Lab,34-039-0004,AQS
06/17/2015,44,Ozone,Flemington,34-019-0001,AQS
06/18/2015,41,Ozone,Monmouth University,34-025-0005,AQS
06/19/2015,48,Ozone,Monmouth University,34-025-0005,AQS
06/20/2015,50,PM2.5,Union City,34-017-2002,AQS
06/21/2015,43,Ozone,Colliers Mills,34-029-0006,AQS
06/22/2015,84,Ozone,Colliers Mills,34-029-0006,AQS
06/23/2015,67,PM2.5,Union City,34-017-2002,AQS
06/24/2015,67,Ozone,Monmouth University,34-025-0005,AQS
06/25/2015,54,Ozone,Colliers Mills,34-029-0006,AQS
06/26/2015,105,Ozone,Rutgers University,34-023-0011,AQS
06/27/2015,40,Ozone,Monmouth University,34-025-0005,AQS
06/28/2015,40,Ozone,Colliers Mills,34-029-0006,AQS
06/29/2015,44,Ozone,Colliers Mills,34-029-0006,AQS
06/30/2015,46,PM2.5,Elizabeth Lab,34-039-0004,AQS
07/01/2015,108,Ozone,Monmouth University,34-025-0005,AQS
07/02/2015,119,NO2,Bayonne,34-017-0006,AQS
07/03/2015,84,Ozone,Susan Wagner Hs,36-085-0067,AQS
07/04/2015,79,PM2.5,Newburgh,36-071-0002,AQS
07/05/2015,90,Ozone,Babylon,36-103-0002,AQS
07/06/2015,80,Ozone,Rockland County,36-087-0005,AQS
07/07/2015,64,Ozone,Rutgers University,34-023-0011,AQS
07/08/2015,71,PM2.5,Fort Lee Near Road,34-003-0010,AQS
07/09/2015,59,PM2.5,Fort Lee Near Road,34-003-0010,AQS
07/10/2015,61,Ozone,Monmouth University,34-025-0005,AQS
07/11/2015,105,Ozone,Rutgers University,34-023-0011,AQS
07/12/2015,100,Ozone,Babylon,36-103-0002,AQS
07/13/2015,129,Ozone,Rockland County,36-087-0005,AQS
07/14/2015,57,PM2.5,Rahway,34-039-2003,AQS
07/15/2015,63,PM2.5,Rahway,34-039-2003,AQS
07/16/2015,61,Ozone,Rutgers University,34-023-0011,AQS
07/17/2015,87,Ozone,Rockland County,36-087-0005,AQS
07/18/2015,54,PM2.5,Richmond Post Office,36-085-0055,AQS
