date, pm25, pm10, o3, no2, so2, co
2016/9/23, 71, 33, 36, 30, 4, 5
2016/9/24, 71, 42, 48, 30, 6, 6
2016/9/25, 91, 55, 66, 58, 9, 9
2016/9/26, 124, 72, 71, 80, 11, 12
2016/9/27, 159, 61, 52, 68, 7, 11
2016/9/28, 131, 40, 28, 59, 6, 10
2016/9/29, 81, 53, 5, 55, 9, 12
2016/9/30, 113, 30, 12, 33, 8, 8
2016/4/1, 145, 57, 21, 37, 3, 8
2016/4/2, 141, 49, 16, 37, 7, 7
2016/4/3, 115, 30, 14, 31, 5, 6
2016/4/4, 80, 27, 13, 38, 4, 8
2016/4/5, 72, 28, 10, 28, 3, 6
2016/4/6, 82, 30, 10, 30, 3, 5
2016/4/7, 78, 32, 12, 29, 5, 5
2016/4/8, 84, 25, 14, 27, 4, 5
2016/4/9, 71, 24, 20, 34, 5, 5
2016/4/10, 65, 21, 31, 28, 3, 4
2016/4/11, 57, 24, 31, 30, 4, 4
2016/4/12, 62, 28, 16, 48, 5, 8
2016/4/13, 72, 36, 16, 37, 6, 8
2016/4/14, 85, 30, 19, 36, 3, 6
2016/4/15, 74, 49, 25, 25, 6, 6
2016/4/16, 102, 28, 9, 19, 5, 5
2016/4/17, 74, 26, 25, 42, 6, 7
2016/4/18, 67, 28, 41, 27, 3, 5
2016/4/19, 66, 45, 41, 34, 3, 5
2016/4/20, 93, 45, 16, 47, 10, 7
2016/4/21, 102, 37, 14, 49, 13, 7
2016/4/22, 90, 26, 20, 36, 7, 6
2016/4/23, 62, 29, 21, 47, 8, 7
2016/4/24, 68, 30, 16, 36, 11, 7
2016/4/25, 72, 21, 15, 20, 6, 5
2016/4/26, 58, 33, 21, 38, 9, 6
2016/4/27, 80, 46, 26, 54, 11, 9
2016/4/28, 104, 44, 55, 36, 4, 6
2016/4/29, 94, 61, 69, 32, 4, 5
2016/4/30, 127, 40, 41, 24, 2, 5
2016/5/1, 93, 42, 29, 23, 3, 5
2016/5/2, 100, 26, 13, 35, 8, 6
2016/5/3, 66, 27, 13, 43, 7, 7
2016/5/4, 69, 23, 14, 24, 5, 5
2016/5/5, 65, 24, 15, 29, 5, 5
2016/5/6, 67, 20, 17, 26, 4, 6
2016/5/7, 59, 17, 18, 21, 3, 4
2016/5/8, 54, 20, 17, 28, 5, 5
2016/5/9, 58, 21, 13, 35, 7, 6
2016/5/10, 58, 33, 40, 46, 5, 7
2016/5/11, 73, 44, 50, 35, 3, 6
2016/5/12, 94, 39, 39, 33, 4, 5
2016/5/13, 84, 37, 31, 22, 3, 4
2016/5/14, 84, 32, 23, 24, 5, 4
2016/5/15, 73, 37, 44, 54, 5, 6
2016/5/16, 73, 34, 34, 30, 3, 5
2016/5/17, 67, 42, 50, 32, 4, 5
2016/5/18, 77, 43, 41, 33, 3, 5
2016/5/19, 84, 37, 24, 34, 3, 6
2016/5/20, 80, 24, 31, 44, 4, 6
2016/5/21, 62, 27, 38, 44, 7, 7
2016/5/22, 64, 35, 34, 52, 10, 9
2016/5/23, 79, 51, 60, 60, 10, 8
2016/5/24, 123, 29, 37, 35, 3, 6
2016/5/25, 75, 25, 25, 25, 2, 5
2016/5/26, 68, 17, 19, 26, 3, 5
2016/5/27, 42, 21, 23, 30, 4, 6
2016/5/28, 47, 24, 18, 23, 4, 5
2016/5/29, 51, 21, 18, 22, 3, 4
2016/5/30, 48, 20, 18, 21, 4, 4
2016/5/31, 48, 20, 15, 20, 4, 5
2016/6/1, 51, 23, 22, 25, 5, 4
2016/6/2, 51, 25, 22, 25, 4, 5
2016/6/3, 52, 24, 22, 31, 4, 6
2016/6/4, 55, 18, 23, 38, 6, 6
2016/6/5, 51, 20, 9, 42, 7, 7
2016/6/6, 58, 21, 20, 41, 7, 6
2016/6/7, 60, 19, 20, 40, 6, 6
2016/6/8, 53, 14, 22, 26, 3, 4
2016/6/9, 44, 14, 22, 32, 4, 5
2016/6/10, 44, 15, 16, 33, 5, 6
2016/6/11, 43, 18, 23, 28, 3, 6
2016/6/12, 47, 29, 24, 32, 4, 6
2016/6/13, 65, 28, 24, 29, 3, 6
2016/6/14, 60, 27, 22, 23, 3, 5
2016/6/15, 57, 26, 21, 35, 5, 7
2016/6/16, 58, 22, 17, 36, 9, 6
2016/6/17, 58, 16, 13, 23, 4, 5
2016/6/18, 42, 13, 12, 21, 4, 4
2016/6/19, 37, 19, 15, 21, 5, 5
2016/6/20, 43, 16, 17, 24, 7, 5
2016/6/21, 41, 15, 16, 30, 9, 5
2016/6/22, 41, 15, 19, 30, 13, 5
2016/6/23, 43, 16, 16, 30, 9, 5
2016/6/24, 44, 17, 16, 25, 8, 6
2016/6/25, 47, 14, 20, 21, 9, 2
2016/6/26, 43, 15, 12, 23, 10, 2
2016/6/27, 44, 14, 9, 22, 10, 3
2016/6/28, 37, 16, 15, 27, 7, 4
2016/6/29, 37, 16, 18, 27, 4, 4
2016/6/30, 35, 11, 17, 19, 4, 3
2016/1/4, 61, 34, 14, 35, 5, 7
2016/1/5, 87, 27, 18, 42, 5, 6
2016/1/6, 70, 30, 29, 35, 3, 7
2016/1/7, 76, 42, 27, 47, 5, 7
2016/1/8, 100, 45, 34, 29, 3, 6
2016/1/9, 97, 52, 32, 25, 3, 6
2016/1/10, 115, 18, 19, 42, 4, 7
2016/1/11, 59, 24, 9, 33, 4, 8
2016/1/12, 64, 31, 25, 34, 3, 7
2016/1/13, 80, 41, 25, 34, 3, 6
2016/1/14, 96, 28, 26, 31, 2, 6
2016/1/15, 80, 34, 20, 26, 2, 6
2016/1/16, 85, 30, 24, 35, 4, 8
2016/1/17, 80, 27, 25, 37, 4, 8
2016/1/18, 71, 43, 30, 32, 4, 7
2016/1/19, 99, 49, 34, 25, 2, 6
2016/1/20, 120, 24, 19, 29, 3, 7
2016/1/21, 69, 14, 5, 26, 3, 8
2016/1/22, 48, 20, 16, 32, 4, 5
2016/1/23, 56, 39, 28, 31, 4, 3
2016/1/24, 86, 46, 30, 44, 6, 3
2016/1/25, 73, 47, 17, 49, 6, 5
2016/1/26, 81, 27, 12, 41, 4, 6
2016/1/27, 72, 24, 19, 35, 3, 6
2016/1/28, 67, 12, 16, 32, 3, 5
2016/1/29, 38, 31, 22, 34, 8, 6
2016/1/30, 78, 29, 28, 21, 6, 4
2016/1/31, 69, 14, 13, 33, 6, 8
2016/2/1, 44, 19, 10, 32, 7, 8
2016/2/2, 54, 30, 14, 32, 7, 8
