date, pm25, pm10, o3, no2, so2, co
2015/1/12, 59, 26, 19, 34, , 5
2015/1/13, 61, 28, 24, 41, 3, 5
2015/1/14, 58, 27, 23, 35, , 4
2015/1/15, 57, 36, 16, 52, , 7
2015/1/16, 67, 40, 15, 38, , 6
2015/1/17, 77, 40, 16, 50, 1, 6
2015/1/18, 80, 47, 14, 53, 1, 7
2015/1/19, 99, 59, 13, 56, 1, 8
2015/1/20, 131, 49, 13, 46, 1, 7
2015/1/21, 96, 60, 5, 41, , 9
2015/1/22, 136, 61, 6, 41, , 8
2015/1/23, 142, 48, 19, 46, , 6
2015/1/24, 98, 54, 17, 55, 1, 7
2015/1/25, 102, 32, 20, 50, , 6
2015/1/26, 74, 50, 16, 63, 1, 8
2015/1/27, 90, 31, 23, 43, , 5
2015/1/28, 60, 25, 29, 48, 1, 5
2015/1/29, 56, 30, 26, 55, , 7
2015/1/30, 71, 27, 23, 49, , 5
2015/1/31, 71, 22, 26, 35, , 4
2015/2/1, 55, 40, 24, 56, 1, 7
2015/2/2, 69, 56, 14, 65, 1, 7
2015/2/3, 94, 49, 15, 47, 1, 6
2015/2/4, 90, 48, 16, 40, , 6
2015/2/5, 86, 52, 10, 38, 1, 6
2015/2/6, 111, 51, 14, 42, 1, 6
