date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210127,9,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,9,CO,0.5,0.6,0.8,0.5,0.5,0.6,1.1,0.7,0.9,0.5,0.7,0.8,0.5,0.6,0.4,0.8,1.1,0.5,0.3,0.7,0.4,0.9,0.7,0.4,0.4,0.6,0.7,1,0.8,1.4,1.5,0.5,0.5,0.5,0.9
20210127,9,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,10,SO2,3,7,6,4,4,4,10,5,5,2,2,5,2,3,1,2,3,1,3,3,1,6,3,3,3,2,3,4,3,4,1,2,2,1,3
20210127,10,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,10,NO2,41,45,47,36,38,43,55,51,58,29,50,61,46,28,24,30,31,29,23,27,10,17,19,18,17,53,46,50,48,52,54,15,22,50,21
20210127,10,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,10,O3,22,26,16,31,26,18,10,5,8,25,7,7,12,7,31,21,23,28,31,25,46,48,17,39,34,5,7,18,15,11,4,36,43,24,41
20210127,10,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,10,CO,0.8,1.1,0.9,0.7,0.6,0.8,0.9,0.9,0.9,0.6,0.7,1,0.9,0.7,0.4,0.8,1,0.5,0.4,0.6,0.4,1,0.9,0.4,0.5,0.8,0.8,1.3,1,0.6,1.8,0.6,0.4,0.4,0.9
20210127,10,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,11,SO2,9,10,11,9,8,8,12,3,8,4,5,7,3,2,2,8,8,1,3,1,2,7,3,3,3,3,6,6,5,6,5,3,3,3,6
20210127,11,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,11,NO2,37,43,36,41,37,36,56,40,42,42,41,47,54,34,19,29,34,28,,23,10,20,,16,13,51,42,51,47,48,51,16,24,55,22
20210127,11,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,11,O3,28,28,30,28,30,30,14,16,26,16,19,20,9,15,41,31,30,29,36,30,49,47,20,43,39,8,11,21,18,15,10,37,43,21,48
20210127,11,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,11,CO,1.1,1.3,1,1.1,0.8,0.9,1.1,0.7,1,0.7,0.7,0.9,1.1,0.7,0.5,0.8,0.9,0.5,0.4,0.6,0.4,1.1,0.8,0.4,0.5,0.8,1,1.4,1.2,0.9,1.9,0.6,0.5,0.5,1
20210127,11,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,12,SO2,13,,14,13,13,,14,8,12,,11,10,5,3,8,8,10,1,,2,4,9,,1,3,6,10,7,7,9,7,5,5,6,7
20210127,12,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,12,NO2,35,,33,41,33,28,34,41,39,32,33,43,48,40,21,27,34,22,12,24,11,23,27,19,13,43,39,52,47,47,52,15,23,50,23
20210127,12,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,12,O3,32,29,36,30,37,36,40,21,33,,34,29,20,18,49,39,37,37,35,33,51,46,,42,42,18,17,21,19,17,13,45,52,32,54
20210127,12,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,12,CO,1.3,1.4,1.1,1.3,1,,1.1,1,1.2,,1,1.2,1.1,0.9,0.8,0.7,0.9,0.4,,0.6,0.5,1.2,,0.4,0.5,1,1.3,1.6,1.4,1.2,1.9,0.6,0.6,0.6,0.9
20210127,12,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
