"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/06/2012","48","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/07/2012","66","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/08/2012","40","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/09/2012","31","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/10/2012","48","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/11/2012","38","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/12/2012","45","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/13/2012","62","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/14/2012","74","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/15/2012","53","PM2.5","Royal Palm Beach","12-099-0009","AQS"
"08/16/2012","60","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/17/2012","59","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/18/2012","56","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/19/2012","52","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"08/20/2012","54","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/21/2012","40","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/22/2012","73","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"08/23/2012","84","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/24/2012","68","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/25/2012","54","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/26/2012","39","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/27/2012","44","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/28/2012","38","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/29/2012","45","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/30/2012","55","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/31/2012","80","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/01/2012","54","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"09/02/2012","39","Ozone","Royal Palm Beach","12-099-0009","AQS"
"09/03/2012","38","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"09/04/2012","30","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/05/2012","37","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/06/2012","34","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/07/2012","30","Ozone","Royal Palm Beach","12-099-0009","AQS"
"09/08/2012","32","Ozone","AG Holley","12-099-0020","AQS"
"09/09/2012","35","PM2.5","Belle Glade","12-099-0008","AQS"
"09/10/2012","44","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/11/2012","45","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/12/2012","42","Ozone","Perdue","12-086-0029","AQS"
"09/13/2012","36","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/14/2012","38","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/15/2012","31","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/16/2012","29","Ozone","Rosenstiel","12-086-0027","AQS"
"09/17/2012","29","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/18/2012","28","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/19/2012","45","Ozone","Pompano Highlands","12-011-2003","AQS"
"09/20/2012","44","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/21/2012","33","PM2.5","U of F Ag Research Center","12-011-1002","AQS"
"09/22/2012","28","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/23/2012","30","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/24/2012","55","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/25/2012","60","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/26/2012","36","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"09/27/2012","33","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/28/2012","40","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/29/2012","34","PM2.5","Miami Fire Station","12-086-1016","AQS"
"09/30/2012","29","Ozone","Rosenstiel","12-086-0027","AQS"
"10/01/2012","30","Ozone","Rosenstiel","12-086-0027","AQS"
"10/02/2012","33","Ozone","Rosenstiel","12-086-0027","AQS"
"10/03/2012","37","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/04/2012","33","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/05/2012","30","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/06/2012","26","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/07/2012","32","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/08/2012","44","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/09/2012","41","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/10/2012","43","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/11/2012","49","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/12/2012","44","Ozone","AG Holley","12-099-0020","AQS"
"10/13/2012","44","Ozone","AG Holley","12-099-0020","AQS"
"10/14/2012","38","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"10/15/2012","40","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/16/2012","41","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/17/2012","37","PM2.5","Miami Fire Station","12-086-1016","AQS"
"10/18/2012","31","PM2.5","Vista View Park","12-011-0033","AQS"
"10/19/2012","53","PM2.5","Vista View Park","12-011-0033","AQS"
"10/20/2012","52","PM2.5","Vista View Park","12-011-0033","AQS"
"10/21/2012","57","PM2.5","Vista View Park","12-011-0033","AQS"
"10/22/2012","46","Ozone","AG Holley","12-099-0020","AQS"
"10/23/2012","43","Ozone","AG Holley","12-099-0020","AQS"
"10/24/2012","40","Ozone","AG Holley","12-099-0020","AQS"
"10/25/2012","40","Ozone","AG Holley","12-099-0020","AQS"
"10/26/2012","36","Ozone","AG Holley","12-099-0020","AQS"
"10/27/2012","40","Ozone","Perdue","12-086-0029","AQS"
"10/28/2012","44","PM2.5","Belle Glade","12-099-0008","AQS"
"10/29/2012","40","Ozone","Rosenstiel","12-086-0027","AQS"
"10/30/2012","39","Ozone","Rosenstiel","12-086-0027","AQS"
"10/31/2012","45","Ozone","Pompano Highlands","12-011-2003","AQS"
"11/01/2012","50","Ozone","Rosenstiel","12-086-0027","AQS"
"11/02/2012","61","Ozone","Rosenstiel","12-086-0027","AQS"
"11/03/2012","67","Ozone","AG Holley","12-099-0020","AQS"
"11/04/2012","61","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"11/05/2012","56","PM2.5","Belle Glade","12-099-0008","AQS"
"11/06/2012","47","PM2.5","Royal Palm Beach","12-099-0009","AQS"
"11/07/2012","38","Ozone","Perdue","12-086-0029","AQS"
"11/08/2012","43","PM2.5","Miami Fire Station","12-086-1016","AQS"
"11/09/2012","49","Ozone","AG Holley","12-099-0020","AQS"
"11/10/2012","49","Ozone","AG Holley","12-099-0020","AQS"
"11/11/2012","43","Ozone","Rosenstiel","12-086-0027","AQS"
"11/12/2012","41","Ozone","AG Holley","12-099-0020","AQS"
"11/13/2012","38","PM2.5","Miami Fire Station","12-086-1016","AQS"
"11/14/2012","45","PM2.5","Miami Fire Station","12-086-1016","AQS"
"11/15/2012","41","Ozone","Perdue","12-086-0029","AQS"
"11/16/2012","44","PM2.5","Miami Fire Station","12-086-1016","AQS"
"11/17/2012","36","Ozone","Rosenstiel","12-086-0027","AQS"
"11/18/2012","37","Ozone","Perdue","12-086-0029","AQS"
"11/19/2012","48","PM2.5","Miami Fire Station","12-086-1016","AQS"
"11/20/2012","47","PM2.5","Miami Fire Station","12-086-1016","AQS"
"11/21/2012","41","Ozone","Perdue","12-086-0029","AQS"
"11/22/2012","49","Ozone","Perdue","12-086-0029","AQS"
"11/23/2012","47","Ozone","Perdue","12-086-0029","AQS"
