"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/16/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/17/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"10/18/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/19/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/20/2011","1","","PENNSUCO","12-086-0019","AQS"
"10/21/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"10/22/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/23/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/24/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/25/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"10/26/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/27/2011","1","","PENNSUCO","12-086-0019","AQS"
"10/28/2011","3","","Lincoln Park Elementary","12-011-0010","AQS"
"10/29/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/30/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/31/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/01/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/02/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/03/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/04/2011","1","","PENNSUCO","12-086-0019","AQS"
"11/05/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/06/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/07/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/08/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/09/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/10/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"11/11/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"11/12/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/13/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/14/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/15/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"11/16/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/17/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"11/18/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/19/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/20/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/21/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/22/2011","1","","PENNSUCO","12-086-0019","AQS"
"11/23/2011","3","","PENNSUCO","12-086-0019","AQS"
"11/24/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/25/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/26/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"11/27/2011","3","","Lincoln Park Elementary","12-011-0010","AQS"
"11/28/2011","3","","Lincoln Park Elementary","12-011-0010","AQS"
"11/29/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"11/30/2011","1","","PENNSUCO","12-086-0019","AQS"
"12/01/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/02/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/03/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/04/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/05/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/06/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/07/2011","1","","PENNSUCO","12-086-0019","AQS"
"12/08/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/09/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/10/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/11/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/12/2011","1","","PENNSUCO","12-086-0019","AQS"
"12/13/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/14/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/15/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/16/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/17/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/18/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/19/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/20/2011","4","","Lincoln Park Elementary","12-011-0010","AQS"
"12/21/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"12/22/2011","9","","Lincoln Park Elementary","12-011-0010","AQS"
"12/23/2011","16","","Lincoln Park Elementary","12-011-0010","AQS"
"12/24/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/25/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/26/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/27/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/28/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/29/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"12/30/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"12/31/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/01/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/02/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/03/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/04/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/05/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/06/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/07/2012","20","","Lincoln Park Elementary","12-011-0010","AQS"
"01/08/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/09/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/10/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/11/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/12/2012","6","","Lincoln Park Elementary","12-011-0010","AQS"
"01/13/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/14/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/15/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/16/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/17/2012","7","","Lincoln Park Elementary","12-011-0010","AQS"
"01/18/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/19/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/20/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/21/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/22/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/23/2012","3","","Lincoln Park Elementary","12-011-0010","AQS"
"01/24/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/25/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/26/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/27/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"01/28/2012","3","","Lincoln Park Elementary","12-011-0010","AQS"
"01/29/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/30/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"01/31/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/01/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/02/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"02/03/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/04/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/05/2012","7","","Lincoln Park Elementary","12-011-0010","AQS"
"02/06/2012","3","","Lincoln Park Elementary","12-011-0010","AQS"
"02/07/2012","7","","Lincoln Park Elementary","12-011-0010","AQS"
"02/08/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/09/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/10/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/11/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/12/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/13/2012","0","","Lincoln Park Elementary","12-011-0010","AQS"
"02/14/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"02/15/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"02/16/2012","1","","Lincoln Park Elementary","12-011-0010","AQS"
"02/17/2012","3","","Lincoln Park Elementary","12-011-0010","AQS"
"02/18/2012","16","","Lincoln Park Elementary","12-011-0010","AQS"
