"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/30/2013","87","","Elizabeth Lab","34-039-0004","AQS"
"01/31/2013","86","","Paterson","34-031-0005","AQS"
"02/01/2013","53","","PS 19","36-061-0128","AQS"
"02/02/2013","53","","IS 74","36-005-0112","AQS"
"02/03/2013","74","","PS 19","36-061-0128","AQS"
"02/04/2013","57","","PS 19","36-061-0128","AQS"
"02/05/2013","98","","Elizabeth Lab","34-039-0004","AQS"
"02/06/2013","80","","DIVISION STREET","36-061-0134","AQS"
"02/07/2013","46","","Elizabeth Lab","34-039-0004","AQS"
"02/08/2013","52","","PS 19","36-061-0128","AQS"
"02/09/2013","47","","PS 19","36-061-0128","AQS"
"02/10/2013","61","","Jersey City Firehouse","34-017-1003","AQS"
"02/11/2013","82","","Jersey City Firehouse","34-017-1003","AQS"
"02/12/2013","61","","PS 19","36-061-0128","AQS"
"02/13/2013","65","","PS 19","36-061-0128","AQS"
"02/14/2013","66","","Toms River","34-029-2002","AQS"
"02/15/2013","88","","Union City","34-017-2002","AQS"
"02/16/2013","80","","DIVISION STREET","36-061-0134","AQS"
"02/17/2013","38","","PS 19","36-061-0128","AQS"
"02/18/2013","45","","PS 19","36-061-0128","AQS"
"02/19/2013","52","","Elizabeth Lab","34-039-0004","AQS"
"02/20/2013","51","","PS 19","36-061-0128","AQS"
"02/21/2013","47","","PS 19","36-061-0128","AQS"
"02/22/2013","57","","PS 19","36-061-0128","AQS"
"02/23/2013","42","","PS 19","36-061-0128","AQS"
"02/24/2013","51","","PS 19","36-061-0128","AQS"
"02/25/2013","58","","PS 19","36-061-0128","AQS"
"02/26/2013","56","","Elizabeth Lab","34-039-0004","AQS"
"02/27/2013","66","","Rahway","34-039-2003","AQS"
"02/28/2013","52","","EISENHOWER PARK","36-059-0005","AQS"
"03/01/2013","40","","PS 19","36-061-0128","AQS"
"03/02/2013","33","","PS 19","36-061-0128","AQS"
"03/03/2013","34","","PS 19","36-061-0128","AQS"
"03/04/2013","42","","PS 19","36-061-0128","AQS"
"03/05/2013","38","","Elizabeth Lab","34-039-0004","AQS"
"03/06/2013","25","","CCNY","36-061-0135","AQS"
"03/07/2013","23","","PS 274","36-047-0118","AQS"
"03/08/2013","35","","PS 19","36-061-0128","AQS"
"03/09/2013","39","","Rahway","34-039-2003","AQS"
"03/10/2013","55","","MORRISANIA","36-005-0080","AQS"
"03/11/2013","54","","Paterson","34-031-0005","AQS"
"03/12/2013","43","","Elizabeth Lab","34-039-0004","AQS"
"03/13/2013","30","","Elizabeth Lab","34-039-0004","AQS"
