"Date","Nitrogen Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"06/17/2011","28","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/18/2011","22","","Lab Annex","12-086-4002","AQS"
"06/19/2011","21","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/20/2011","37","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/21/2011","32","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/22/2011","9","","AG Holley","12-099-0020","AQS"
"06/23/2011","10","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/24/2011","34","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/25/2011","20","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/26/2011","13","","Rosenstiel","12-086-0027","AQS"
"06/27/2011","11","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/28/2011","17","","Lab Annex","12-086-4002","AQS"
"06/29/2011","29","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/30/2011","26","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/01/2011","22","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/02/2011","18","","AG Holley","12-099-0020","AQS"
"07/03/2011","12","","AG Holley","12-099-0020","AQS"
"07/04/2011","4","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"07/05/2011","7","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"07/06/2011","9","","AG Holley","12-099-0020","AQS"
