Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
05/28/2015,143,Ozone,Lancaster-division Street,06-037-9033,AQS
05/29/2015,159,Ozone,Santa Clarita,06-037-6012,AQS
05/30/2015,172,Ozone,Reseda,06-037-1201,AQS
05/31/2015,154,Ozone,Santa Clarita,06-037-6012,AQS
06/01/2015,100,Ozone,Pomona,06-037-1701,AQS
06/02/2015,100,Ozone,Lancaster-division Street,06-037-9033,AQS
06/03/2015,67,Ozone,Lancaster-division Street,06-037-9033,AQS
06/04/2015,64,PM2.5,Reseda,06-037-1201,AQS
06/05/2015,105,Ozone,Lancaster-division Street,06-037-9033,AQS
06/06/2015,122,Ozone,Lancaster-division Street,06-037-9033,AQS
06/07/2015,140,Ozone,Pomona,06-037-1701,AQS
06/08/2015,126,Ozone,Pomona,06-037-1701,AQS
06/09/2015,61,PM2.5,Reseda,06-037-1201,AQS
06/10/2015,71,Ozone,Lancaster-division Street,06-037-9033,AQS
06/11/2015,105,Ozone,Lancaster-division Street,06-037-9033,AQS
06/12/2015,84,Ozone,Lancaster-division Street,06-037-9033,AQS
06/13/2015,126,Ozone,Lancaster-division Street,06-037-9033,AQS
06/14/2015,129,Ozone,Pomona,06-037-1701,AQS
06/15/2015,154,Ozone,Santa Clarita,06-037-6012,AQS
06/16/2015,174,Ozone,Lancaster-division Street,06-037-9033,AQS
06/17/2015,192,Ozone,Lancaster-division Street,06-037-9033,AQS
06/18/2015,174,Ozone,Pomona,06-037-1701,AQS
06/19/2015,190,Ozone,Santa Clarita,06-037-6012,AQS
06/20/2015,203,Ozone,Santa Clarita,06-037-6012,AQS
06/21/2015,154,Ozone,Santa Clarita,06-037-6012,AQS
06/22/2015,187,Ozone,Lancaster-division Street,06-037-9033,AQS
06/23/2015,177,Ozone,Lancaster-division Street,06-037-9033,AQS
06/24/2015,195,Ozone,Lancaster-division Street,06-037-9033,AQS
06/25/2015,179,Ozone,Lancaster-division Street,06-037-9033,AQS
06/26/2015,140,Ozone,Santa Clarita,06-037-6012,AQS
06/27/2015,112,Ozone,Lancaster-division Street,06-037-9033,AQS
06/28/2015,166,Ozone,Glendora,06-037-0016,AQS
06/29/2015,122,Ozone,Lancaster-division Street,06-037-9033,AQS
06/30/2015,161,Ozone,Lancaster-division Street,06-037-9033,AQS
07/01/2015,101,Ozone,Lancaster-division Street,06-037-9033,AQS
