Date,PM10 AQI Value,Site Name,Site ID,Source
08/04/2011,32,Glendora,06-037-0016,AQS
08/05/2011,42,Glendora,06-037-0016,AQS
08/06/2011,39,Glendora,06-037-0016,AQS
08/07/2011,40,Glendora,06-037-0016,AQS
08/08/2011,46,Glendora,06-037-0016,AQS
08/09/2011,50,Glendora,06-037-0016,AQS
08/10/2011,46,Glendora,06-037-0016,AQS
08/11/2011,40,Glendora,06-037-0016,AQS
08/12/2011,44,Glendora,06-037-0016,AQS
08/13/2011,47,Glendora,06-037-0016,AQS
08/14/2011,41,Glendora,06-037-0016,AQS
08/15/2011,49,Glendora,06-037-0016,AQS
08/16/2011,49,Glendora,06-037-0016,AQS
08/17/2011,48,Glendora,06-037-0016,AQS
08/18/2011,50,Glendora,06-037-0016,AQS
08/19/2011,56,Glendora,06-037-0016,AQS
08/20/2011,50,Glendora,06-037-0016,AQS
08/21/2011,40,Glendora,06-037-0016,AQS
08/22/2011,36,Glendora,06-037-0016,AQS
08/23/2011,40,Glendora,06-037-0016,AQS
08/24/2011,45,Glendora,06-037-0016,AQS
08/25/2011,51,Azusa,06-037-0002,AQS
08/26/2011,52,Glendora,06-037-0016,AQS
08/27/2011,40,Glendora,06-037-0016,AQS
08/28/2011,47,Glendora,06-037-0016,AQS
08/29/2011,47,Glendora,06-037-0016,AQS
08/30/2011,51,Glendora,06-037-0016,AQS
08/31/2011,46,Azusa,06-037-0002,AQS
09/01/2011,47,Glendora,06-037-0016,AQS
09/02/2011,51,Glendora,06-037-0016,AQS
09/03/2011,38,Glendora,06-037-0016,AQS
09/04/2011,37,Glendora,06-037-0016,AQS
09/05/2011,41,Glendora,06-037-0016,AQS
09/06/2011,38,Los Angeles-north Main Street,06-037-1103,AQS
09/07/2011,43,Los Angeles-north Main Street,06-037-1103,AQS
09/08/2011,36,Los Angeles-north Main Street,06-037-1103,AQS
09/09/2011,47,Glendora,06-037-0016,AQS
09/10/2011,42,Glendora,06-037-0016,AQS
09/11/2011,25,Glendora,06-037-0016,AQS
09/12/2011,39,Azusa,06-037-0002,AQS
09/13/2011,34,Glendora,06-037-0016,AQS
09/14/2011,45,Glendora,06-037-0016,AQS
09/15/2011,53,Glendora,06-037-0016,AQS
09/16/2011,46,Glendora,06-037-0016,AQS
09/17/2011,34,Glendora,06-037-0016,AQS
09/18/2011,35,Glendora,06-037-0016,AQS
09/19/2011,45,Glendora,06-037-0016,AQS
09/20/2011,54,Glendora,06-037-0016,AQS
09/21/2011,52,Glendora,06-037-0016,AQS
09/22/2011,54,Glendora,06-037-0016,AQS
09/23/2011,53,Glendora,06-037-0016,AQS
09/24/2011,51,Glendora,06-037-0016,AQS
09/25/2011,36,Glendora,06-037-0016,AQS
09/26/2011,44,Glendora,06-037-0016,AQS
09/27/2011,47,Glendora,06-037-0016,AQS
09/28/2011,55,Glendora,06-037-0016,AQS
09/29/2011,44,Glendora,06-037-0016,AQS
09/30/2011,55,Azusa,06-037-0002,AQS
10/01/2011,27,Anaheim,06-059-0007,AQS
10/02/2011,22,Glendora,06-037-0016,AQS
10/03/2011,21,Glendora,06-037-0016,AQS
10/04/2011,13,Glendora,06-037-0016,AQS
10/05/2011,12,Long Beach (north),06-037-4002,AQS
10/06/2011,21,Los Angeles-north Main Street,06-037-1103,AQS
10/07/2011,22,Long Beach (north),06-037-4002,AQS
10/08/2011,23,Long Beach (north),06-037-4002,AQS
10/09/2011,21,Long Beach (north),06-037-4002,AQS
10/10/2011,29,Anaheim,06-059-0007,AQS
10/11/2011,38,Anaheim,06-059-0007,AQS
10/12/2011,36,Anaheim,06-059-0007,AQS
10/13/2011,36,Long Beach (north),06-037-4002,AQS
10/14/2011,31,Glendora,06-037-0016,AQS
10/15/2011,47,Glendora,06-037-0016,AQS
10/16/2011,35,Glendora,06-037-0016,AQS
10/17/2011,34,Anaheim,06-059-0007,AQS
10/18/2011,52,Azusa,06-037-0002,AQS
10/19/2011,47,Glendora,06-037-0016,AQS
10/20/2011,45,Glendora,06-037-0016,AQS
10/21/2011,52,Glendora,06-037-0016,AQS
10/22/2011,44,Anaheim,06-059-0007,AQS
10/23/2011,41,Glendora,06-037-0016,AQS
10/24/2011,61,Glendora,06-037-0016,AQS
10/25/2011,33,Glendora,06-037-0016,AQS
10/26/2011,29,Glendora,06-037-0016,AQS
10/27/2011,37,Long Beach (north),06-037-4002,AQS
10/28/2011,36,Anaheim,06-059-0007,AQS
10/29/2011,43,Long Beach (north),06-037-4002,AQS
10/30/2011,47,Long Beach (north),06-037-4002,AQS
10/31/2011,48,Anaheim,06-059-0007,AQS
11/01/2011,50,Glendora,06-037-0016,AQS
11/02/2011,63,Anaheim,06-059-0007,AQS
11/03/2011,37,Anaheim,06-059-0007,AQS
11/04/2011,15,Anaheim,06-059-0007,AQS
11/05/2011,20,Long Beach (north),06-037-4002,AQS
11/06/2011,16,Long Beach (north),06-037-4002,AQS
11/07/2011,20,Long Beach (north),06-037-4002,AQS
11/08/2011,30,Long Beach (north),06-037-4002,AQS
11/09/2011,27,Long Beach (north),06-037-4002,AQS
11/10/2011,35,Long Beach (north),06-037-4002,AQS
11/11/2011,25,Burbank,06-037-1002,AQS
11/12/2011,14,Burbank,06-037-1002,AQS
11/13/2011,17,Burbank,06-037-1002,AQS
11/14/2011,20,Long Beach (north),06-037-4002,AQS
11/15/2011,32,Glendora,06-037-0016,AQS
11/16/2011,51,Anaheim,06-059-0007,AQS
11/17/2011,53,Anaheim,06-059-0007,AQS
11/18/2011,47,Glendora,06-037-0016,AQS
11/19/2011,19,Long Beach (north),06-037-4002,AQS
11/20/2011,16,Long Beach (north),06-037-4002,AQS
11/21/2011,19,Long Beach (north),06-037-4002,AQS
11/22/2011,31,Anaheim,06-059-0007,AQS
11/23/2011,29,Burbank,06-037-1002,AQS
11/24/2011,21,Anaheim,06-059-0007,AQS
11/25/2011,31,Long Beach (north),06-037-4002,AQS
11/26/2011,33,Long Beach (north),06-037-4002,AQS
11/27/2011,16,Long Beach (north),06-037-4002,AQS
11/28/2011,29,Burbank,06-037-1002,AQS
11/29/2011,52,Long Beach (north),06-037-4002,AQS
11/30/2011,55,Azusa,06-037-0002,AQS
12/01/2011,71,Burbank,06-037-1002,AQS
12/02/2011,59,Long Beach (north),06-037-4002,AQS
12/03/2011,40,Long Beach (north),06-037-4002,AQS
12/04/2011,38,Long Beach (north),06-037-4002,AQS
12/05/2011,39,Burbank,06-037-1002,AQS
12/06/2011,32,Long Beach (north),06-037-4002,AQS
12/07/2011,31,Burbank,06-037-1002,AQS
12/08/2011,41,Long Beach (north),06-037-4002,AQS
12/09/2011,50,Long Beach (north),06-037-4002,AQS
12/10/2011,44,Long Beach (north),06-037-4002,AQS
12/11/2011,33,Long Beach (north),06-037-4002,AQS
12/12/2011,19,Anaheim,06-059-0007,AQS
12/13/2011,15,Long Beach (north),06-037-4002,AQS
12/14/2011,27,Long Beach (north),06-037-4002,AQS
12/15/2011,37,Long Beach (north),06-037-4002,AQS
12/16/2011,26,Long Beach (north),06-037-4002,AQS
12/17/2011,27,Azusa,06-037-0002,AQS
12/18/2011,26,Long Beach (north),06-037-4002,AQS
12/19/2011,25,Long Beach (north),06-037-4002,AQS
12/20/2011,33,Long Beach (north),06-037-4002,AQS
12/21/2011,36,Long Beach (north),06-037-4002,AQS
12/22/2011,35,Anaheim,06-059-0007,AQS
12/23/2011,36,Long Beach (south),06-037-4004,AQS
12/24/2011,38,Long Beach (north),06-037-4002,AQS
12/25/2011,43,Long Beach (north),06-037-4002,AQS
12/26/2011,31,Long Beach (north),06-037-4002,AQS
12/27/2011,49,Long Beach (north),06-037-4002,AQS
12/28/2011,47,Anaheim,06-059-0007,AQS
12/29/2011,49,Burbank,06-037-1002,AQS
12/30/2011,40,Burbank,06-037-1002,AQS
12/31/2011,45,Long Beach (north),06-037-4002,AQS
01/01/2012,49,Anaheim,06-059-0007,AQS
01/02/2012,32,Anaheim,06-059-0007,AQS
01/03/2012,44,Anaheim,06-059-0007,AQS
01/04/2012,50,Long Beach (south),06-037-4004,AQS
01/05/2012,31,Burbank,06-037-1002,AQS
01/06/2012,42,Long Beach (north),06-037-4002,AQS
01/07/2012,40,Glendora,06-037-0016,AQS
01/08/2012,54,Long Beach (north),06-037-4002,AQS
01/09/2012,34,Long Beach (north),06-037-4002,AQS
01/10/2012,36,Long Beach (north),06-037-4002,AQS
01/11/2012,51,Burbank,06-037-1002,AQS
01/12/2012,49,Long Beach (north),06-037-4002,AQS
01/13/2012,34,Long Beach (north),06-037-4002,AQS
01/14/2012,45,Burbank,06-037-1002,AQS
01/15/2012,35,Long Beach (north),06-037-4002,AQS
01/16/2012,23,Los Angeles-north Main Street,06-037-1103,AQS
01/17/2012,31,Long Beach (north),06-037-4002,AQS
01/18/2012,43,Long Beach (north),06-037-4002,AQS
01/19/2012,44,Long Beach (north),06-037-4002,AQS
01/20/2012,44,Glendora,06-037-0016,AQS
01/21/2012,24,Long Beach (north),06-037-4002,AQS
