date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200915,15,CO,0.6,2.7,0.6,,0.5,0.5,0.6,0.6,,0.7,0.5,0.6,0.3,0.7,0.7,,0.6,0.5,0.4,1.2,0.6,0.5,0.4,,0.4,0.5,0.6,1.1,0.6,0.6,,0.6,0.5,0.8,0.6
20200915,15,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,16,SO2,1,3,3,3,3,3,3,3,,3,1,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,1,3,3,,4,3,3,3
20200915,16,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,16,NO2,10,,13,11,13,10,14,5,,10,7,8,14,14,9,12,19,7,6,9,15,17,7,4,9,1,11,14,3,4,,14,25,30,22
20200915,16,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,16,O3,87,83,88,81,87,85,93,88,,99,93,83,113,98,85,82,78,72,86,79,76,68,78,72,76,82,68,77,87,119,,82,68,80,76
20200915,16,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,16,CO,0.6,0.6,0.5,,0.5,0.5,0.5,0.5,,0.5,,0.4,0.2,0.7,0.7,0.5,0.6,0.4,0.4,0.8,0.6,0.5,0.4,0.4,0.4,0.4,0.6,1,0.5,0.6,,0.5,0.5,0.8,0.5
20200915,16,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,17,SO2,1,3,3,3,3,3,3,3,,3,1,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,1,3,3,,3,3,1,1
20200915,17,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,17,NO2,13,11,14,14,15,12,17,8,,14,,12,15,14,7,14,14,6,10,8,16,7,9,,15,2,21,10,2,4,,19,30,39,47
20200915,17,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,17,O3,88,83,89,88,84,81,86,85,,96,,81,117,96,86,84,87,45,85,77,72,73,76,70,77,78,64,81,96,118,,85,66,69,52
20200915,17,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,17,CO,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.5,,0.4,0.5,0.4,0.2,0.6,0.6,0.4,0.5,0.4,0.4,0.8,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.8,0.5,0.6,,0.5,0.5,0.9,0.7
