province,date,CO,NO2,NOx,O3,PM10,PM25
Milano,2020-04-29,570.0,22.71125,35.33166666666666,60.18666666666667,21.433333333333334,13.95
Milano,2020-04-30,561.6666666666666,22.898333333333333,35.65333333333333,59.67666666666666,20.96666666666667,13.75
Milano,2020-05-01,554.1666666666666,22.78125,35.402499999999996,59.44083333333333,20.633333333333333,13.566666666666666
Milano,2020-05-02,548.3333333333334,22.256666666666668,35.445,59.471666666666664,20.4,13.383333333333333
Milano,2020-05-03,569.1666666666667,22.229583333333334,35.718333333333334,58.91166666666666,20.333333333333336,13.383333333333333
Milano,2020-05-04,545.0,22.729166666666664,36.05583333333333,58.34916666666666,20.6,13.6
Milano,2020-05-05,545.0,23.36541666666667,36.45916666666667,58.155833333333334,21.633333333333333,13.783333333333333
Milano,2020-05-06,532.5,23.638333333333335,36.5625,58.73083333333334,21.066666666666666,13.799999999999999
Milano,2020-05-07,531.6666666666667,23.494999999999997,36.35916666666667,59.239999999999995,20.916666666666664,13.716666666666667
Milano,2020-05-08,534.1666666666666,23.66208333333333,36.07166666666667,59.615,19.341666666666665,13.5
Milano,2020-05-09,525.0,23.318749999999998,35.77166666666666,59.5775,20.525,13.083333333333334
Milano,2020-05-10,525.0,22.960833333333333,34.93333333333333,59.098333333333336,19.749999999999996,12.733333333333333
Milano,2020-05-11,556.6666666666667,23.695,36.81333333333333,58.9525,19.21666666666667,12.683333333333334
Milano,2020-05-12,541.25,23.5775,35.273333333333326,59.75083333333333,19.866666666666664,13.233333333333333
Milano,2020-05-13,537.9166666666667,23.954166666666666,36.31166666666667,59.748333333333335,19.933333333333334,12.7
Milano,2020-05-14,534.1666666666667,24.179166666666667,36.754999999999995,60.42333333333333,,
Milano,2020-05-15,530.0,24.22833333333333,36.822500000000005,61.4,20.633333333333333,13.833333333333334
Milano,2020-05-16,517.5,23.399583333333332,35.964166666666664,62.31,21.75,14.15
Milano,2020-05-17,514.1666666666666,22.765416666666667,34.83416666666666,62.73166666666667,22.416666666666668,14.566666666666666
Milano,2020-05-18,522.5,23.49375,36.655,61.92916666666667,22.46666666666667,14.4
Milano,2020-05-19,527.9166666666666,24.15208333333333,37.61666666666667,60.8125,22.4,14.200000000000001
Milano,2020-05-20,534.1666666666667,24.608333333333334,37.125,60.855,,
Milano,2020-05-21,537.5,24.74458333333333,36.30416666666667,60.5275,22.3,14.099999999999998
Milano,2020-05-22,550.0,24.59375,36.19499999999999,60.855,21.833333333333336,13.9
Milano,2020-05-23,548.3333333333333,24.64875,36.47,61.126666666666665,21.566666666666666,13.983333333333334
Milano,2020-05-24,550.0,24.565416666666668,36.91083333333333,60.582499999999996,21.666666666666668,14.1
Milano,2020-05-25,553.3333333333333,24.335833333333333,37.57416666666666,60.791666666666664,21.866666666666667,14.333333333333332
Milano,2020-05-26,538.75,24.166666666666664,37.53833333333333,61.19833333333334,22.200000000000003,15.016666666666666
Milano,2020-05-27,540.0,24.20625,36.799166666666665,61.315000000000005,23.375,14.716666666666667
Milano,2020-05-28,543.3333333333334,24.479166666666668,36.82416666666667,60.87833333333334,21.508333333333333,15.008333333333333
Milano,2020-05-29,542.5,24.482499999999998,36.858333333333334,61.125,22.266666666666666,15.066666666666666
Milano,2020-05-30,535.8333333333333,24.4975,36.96,60.965,22.316666666666666,14.7
Milano,2020-05-31,526.6666666666666,24.757916666666667,36.99583333333334,60.189166666666665,,14.0
Milano,2020-06-01,530.8333333333334,25.161249999999995,37.41916666666667,59.56666666666666,22.200000000000003,14.166666666666668
Milano,2020-06-02,533.75,24.307499999999997,37.711666666666666,59.645,22.0,13.866666666666667
Milano,2020-06-03,553.3333333333333,25.222083333333334,37.538333333333334,59.7375,21.849999999999998,13.908333333333333
Milano,2020-06-04,515.0,24.81041666666667,37.355000000000004,59.8225,21.691666666666666,13.716666666666665
Milano,2020-06-05,530.0,24.570833333333333,37.3375,59.825,21.441666666666666,13.716666666666665
Milano,2020-06-06,523.75,24.30625,36.964166666666664,59.814166666666665,21.066666666666666,13.633333333333333
Milano,2020-06-07,520.0,24.330833333333334,36.625,59.26708333333333,20.566666666666663,13.55
Milano,2020-06-08,518.3333333333334,24.728749999999998,36.45666666666666,58.64333333333333,19.300000000000004,13.483333333333334
Milano,2020-06-09,495.0,25.02625,36.230000000000004,59.292500000000004,20.975,13.416666666666668
Milano,2020-06-10,495.0,24.64,36.15208333333334,60.109166666666674,20.75,13.566666666666666
Milano,2020-06-11,531.6666666666667,25.395833333333332,37.339166666666664,61.022499999999994,20.15833333333333,13.983333333333333
Milano,2020-06-12,515.0,24.863333333333337,37.207499999999996,61.24583333333334,20.883333333333333,14.733333333333333
Milano,2020-06-13,516.6666666666666,24.473333333333336,38.08416666666667,61.2325,20.96666666666667,15.499999999999998
Milano,2020-06-14,518.3333333333334,24.419999999999998,38.01416666666667,60.977500000000006,21.616666666666667,15.516666666666666
Milano,2020-06-15,520.4166666666667,24.499166666666667,38.08916666666667,61.056666666666665,22.333333333333336,16.066666666666666
Milano,2020-06-16,526.25,24.629166666666666,40.094166666666666,60.35083333333333,22.516666666666666,
Milano,2020-06-17,534.5833333333334,24.685,40.45666666666667,60.063333333333325,22.03333333333333,16.68333333333333
Milano,2020-06-18,538.75,25.649166666666666,40.815000000000005,60.699999999999996,22.1,
Milano,2020-06-19,538.3333333333333,26.056666666666665,41.380833333333335,61.01499999999999,21.9,16.416666666666664
Milano,2020-06-20,538.3333333333334,25.7375,45.18541666666667,60.834999999999994,21.9,16.066666666666663
Milano,2020-06-21,538.3333333333333,25.7025,45.008750000000006,60.71916666666666,21.45,15.283333333333331
Milano,2020-06-22,537.5,25.59166666666667,45.057916666666664,60.89666666666666,21.3,14.9
Milano,2020-06-23,536.6666666666666,25.586666666666666,45.11208333333333,60.4125,21.35,14.8
Milano,2020-06-24,537.9166666666667,26.16541666666667,41.74666666666667,60.07833333333333,21.21666666666667,14.95
Milano,2020-06-25,541.6666666666666,26.223750000000003,41.77166666666666,60.02166666666667,21.266666666666666,15.033333333333333
Milano,2020-06-26,543.3333333333334,25.98375,42.03583333333333,60.310833333333335,21.333333333333336,15.466666666666667
Milano,2020-06-27,533.3333333333333,25.99666666666667,42.74416666666667,60.337500000000006,21.3,16.183333333333334
Milano,2020-06-28,538.3333333333333,25.935833333333335,42.788333333333334,61.435833333333335,20.9,16.366666666666667
Milano,2020-06-29,550.0,25.954166666666666,42.94916666666667,62.056666666666665,21.733333333333334,16.2
Milano,2020-06-30,551.6666666666667,26.137083333333333,43.29833333333333,63.04666666666667,22.983333333333334,15.675
Milano,2020-07-01,548.75,26.28875,43.54833333333333,63.580416666666665,22.1,15.316666666666666
Milano,2020-07-02,542.5,25.9925,43.52583333333334,64.05166666666666,22.666666666666668,15.216666666666665
Milano,2020-07-03,540.8333333333334,25.87833333333333,43.2225,64.67500000000001,23.133333333333333,15.333333333333332
Milano,2020-07-04,576.6666666666667,25.477083333333333,42.858333333333334,65.59416666666667,23.25,15.516666666666666
Milano,2020-07-05,555.0,25.232916666666668,42.61,66.705,23.291666666666668,15.633333333333333
Milano,2020-07-06,565.8333333333333,25.242083333333333,42.55,67.16333333333333,21.65833333333333,14.733333333333334
Milano,2020-07-07,576.6666666666666,25.31041666666667,42.522499999999994,67.16874999999999,23.6,15.850000000000001
Milano,2020-07-08,582.9166666666667,25.263333333333332,46.39333333333333,67.63,23.65,15.799999999999999
Milano,2020-07-09,616.6666666666666,25.199583333333333,45.89083333333333,67.1925,23.383333333333333,15.716666666666667
Milano,2020-07-10,608.3333333333333,24.541666666666664,43.6125,66.24166666666667,22.949999999999996,15.666666666666668
Milano,2020-07-11,602.5,26.447916666666664,46.70333333333333,65.65208333333334,23.849999999999998,15.716666666666667
Milano,2020-07-12,579.1666666666666,25.354166666666664,44.07,65.74833333333333,24.35,16.333333333333332
Milano,2020-07-13,580.8333333333333,25.916666666666664,43.00875,65.72,23.558333333333334,17.0
Milano,2020-07-14,583.3333333333333,26.365833333333335,43.17041666666667,66.025,23.683333333333334,17.133333333333333
Milano,2020-07-15,585.0,26.63666666666667,44.76083333333334,65.4625,24.166666666666668,16.583333333333336
Milano,2020-07-16,570.0,26.259166666666665,43.547916666666666,66.43416666666667,23.933333333333334,16.78333333333333
Milano,2020-07-17,569.1666666666667,25.590833333333336,41.71875,67.76166666666667,23.3,17.133333333333333
Milano,2020-07-18,572.5,25.689999999999998,42.72208333333333,67.505,24.366666666666667,17.1
Milano,2020-07-19,575.8333333333333,26.099166666666665,43.38583333333334,66.27208333333333,23.78333333333333,17.15
Milano,2020-07-20,584.1666666666666,26.369999999999997,42.32541666666666,66.08749999999999,23.333333333333332,17.283333333333335
Milano,2020-07-21,589.1666666666666,26.653333333333332,42.38166666666667,66.4075,23.95,16.700000000000003
Milano,2020-07-22,590.8333333333333,26.950833333333332,42.67375,66.53583333333333,23.416666666666668,15.766666666666666
Milano,2020-07-23,585.8333333333334,26.929166666666667,42.89208333333333,66.19833333333334,22.975,15.416666666666666
Milano,2020-07-24,575.0,26.176250000000003,43.3725,65.865,23.799999999999997,15.666666666666668
Milano,2020-07-25,586.6666666666666,25.2475,43.49583333333334,66.73416666666667,24.233333333333334,15.816666666666666
Milano,2020-07-26,583.3333333333333,25.496666666666666,43.009166666666665,67.35916666666667,23.90833333333333,16.433333333333334
Milano,2020-07-27,578.3333333333335,26.038333333333334,42.04666666666667,67.49583333333334,23.28333333333333,16.516666666666666
Milano,2020-07-28,565.0,26.039166666666667,41.75416666666666,66.91833333333332,23.51666666666667,16.450000000000003
Milano,2020-07-29,579.5833333333334,26.526249999999997,41.04,66.2425,24.05833333333333,15.75
Milano,2020-07-30,577.5,26.121666666666666,40.60333333333333,66.24958333333333,24.616666666666667,15.866666666666667
Milano,2020-07-31,573.3333333333334,26.185833333333335,39.807500000000005,66.57791666666667,23.991666666666667,16.03333333333333
Milano,2020-08-01,569.1666666666666,25.1275,39.39333333333333,66.32791666666667,23.65,15.55
Milano,2020-08-02,565.8333333333333,23.375416666666666,39.11708333333333,66.55083333333334,23.0,15.25
Milano,2020-08-03,562.0833333333333,24.657083333333333,39.090833333333336,66.42166666666667,22.466666666666665,15.25
Milano,2020-08-04,565.8333333333334,24.543333333333333,38.814166666666665,66.61166666666666,23.058333333333334,15.25
Milano,2020-08-05,565.8333333333333,24.49875,38.629999999999995,66.38333333333333,23.175,15.25
Milano,2020-08-06,566.25,24.47875,38.90083333333334,66.7425,23.05,15.333333333333334
Milano,2020-08-07,571.6666666666667,25.675,37.81999999999999,65.27624999999999,23.266666666666666,15.4
Milano,2020-08-08,564.1666666666667,24.301666666666666,39.05166666666666,66.27333333333333,23.333333333333336,15.366666666666665
Milano,2020-08-09,570.0,24.070416666666667,39.170833333333334,66.05250000000001,23.333333333333336,15.266666666666667
Milano,2020-08-10,554.1666666666666,23.12083333333333,39.10416666666667,65.33416666666666,23.35,15.166666666666666
Milano,2020-08-11,545.0,24.786666666666665,39.10666666666667,65.26291666666667,23.533333333333335,15.083333333333334
Milano,2020-08-12,542.5,23.759999999999998,38.82166666666667,64.10916666666667,23.549999999999997,15.0
Milano,2020-08-13,542.5,23.590833333333332,38.55416666666666,63.317499999999995,23.499999999999996,14.866666666666665
Milano,2020-08-14,540.0,23.514583333333334,38.22,62.726666666666674,22.791666666666664,14.666666666666666
Milano,2020-08-15,534.1666666666667,23.247916666666665,37.806666666666665,62.174166666666665,22.916666666666664,14.466666666666669
Milano,2020-08-16,517.0833333333334,22.585833333333333,36.18333333333332,61.830000000000005,21.96666666666667,13.616666666666667
Milano,2020-08-17,516.25,22.316666666666663,37.10333333333333,61.810833333333335,21.216666666666665,13.149999999999999
Milano,2020-08-18,534.5833333333333,22.854999999999997,40.77,61.717499999999994,22.016666666666666,14.2
Milano,2020-08-19,542.0833333333333,23.484583333333333,41.560833333333335,61.20333333333333,22.983333333333334,15.083333333333332
Milano,2020-08-20,542.5,24.033749999999998,41.83416666666666,60.25583333333333,23.516666666666666,15.45
Milano,2020-08-21,541.6666666666667,24.1125,42.00333333333333,60.73,23.950000000000003,15.733333333333334
Milano,2020-08-22,540.8333333333334,23.846666666666664,41.844166666666666,61.28333333333333,23.95,15.649999999999999
Milano,2020-08-23,540.0,23.725416666666668,41.89583333333333,61.52333333333333,23.799999999999997,15.566666666666666
Milano,2020-08-24,540.8333333333333,23.639166666666664,41.875,62.7325,23.95,15.616666666666667
Milano,2020-08-25,543.3333333333334,23.550833333333333,40.895833333333336,62.85083333333333,24.0,15.766666666666666
Milano,2020-08-26,535.0,23.828333333333333,41.80208333333333,64.08583333333334,23.758333333333333,15.433333333333334
Milano,2020-08-27,543.3333333333334,24.09166666666667,41.968333333333334,62.76083333333334,24.166666666666664,15.566666666666665
Milano,2020-08-28,537.5,24.604583333333334,43.9275,62.58833333333333,24.633333333333333,16.0
Milano,2020-08-29,535.0,25.572916666666668,45.00666666666666,62.174166666666665,24.866666666666667,16.1
Milano,2020-08-30,543.3333333333334,26.556666666666665,45.535,61.041666666666664,25.46666666666667,16.366666666666667
Milano,2020-08-31,562.9166666666666,27.637083333333333,45.95333333333333,59.6275,26.133333333333333,16.683333333333334
Milano,2020-09-01,572.5,28.356666666666666,46.7375,59.14458333333333,26.816666666666666,17.083333333333332
Milano,2020-09-02,578.75,27.42458333333333,45.17583333333334,58.355000000000004,27.4,17.4
Milano,2020-09-03,575.0,29.064583333333335,48.205,58.822500000000005,27.949999999999996,17.666666666666664
Milano,2020-09-04,570.8333333333334,29.13958333333333,48.590833333333336,58.833333333333336,28.45,17.900000000000002
Milano,2020-09-05,568.3333333333334,29.262916666666662,48.65166666666667,57.8775,28.816666666666663,18.033333333333335
Milano,2020-09-06,570.8333333333334,29.570416666666667,48.985,56.718333333333334,29.233333333333334,18.266666666666666
Milano,2020-09-07,555.0,29.056666666666665,46.720416666666665,55.58083333333333,29.5,18.46666666666667
Milano,2020-09-08,579.1666666666667,30.17583333333333,49.58083333333333,54.63916666666667,29.758333333333333,18.53333333333333
Milano,2020-09-09,591.6666666666667,30.342499999999998,50.094166666666666,53.647499999999994,29.7,18.583333333333336
Milano,2020-09-10,581.25,31.77916666666667,51.49791666666667,52.8,29.683333333333334,18.483333333333334
Milano,2020-09-11,581.6666666666666,31.59166666666667,51.42666666666667,52.00125,29.21666666666667,18.183333333333334
Milano,2020-09-12,584.1666666666667,30.228749999999998,50.14666666666667,51.319166666666675,28.616666666666667,17.883333333333333
Milano,2020-09-13,587.5,29.048333333333332,48.047916666666666,50.614999999999995,28.366666666666667,17.76666666666667
Milano,2020-09-14,589.5833333333334,31.322499999999998,51.98166666666667,49.2175,28.583333333333332,17.799999999999997
Milano,2020-09-15,590.0,32.04208333333333,53.19166666666667,47.714166666666664,29.066666666666666,17.966666666666665
